,3FGL,CLASS1-3FGL,3FGL-BSL,3FGL-1FGL,3FGL-2FGL
50,J0021.6-2553,bll,,J0021.7-2556,J0021.6-2551
51,J0022.1-1855,bll,,J0022.2-1850,J0022.2-1853
52,J0022.1-5141,bll,,,J0022.3-5141
53,J0022.5+0608,bll,,J0022.5+0607,J0022.5+0607
54,J0022.7+4651,,,,
55,J0023.4+0923,PSR,,J0023.5+0930,J0023.5+0924
56,J0023.5+4454,fsrq,,J0023.0+4453,J0023.2+4454
57,J0023.9-7203,glc,J0025.1-7202,J0023.9-7204,J0023.9-7204
58,J0024.4+0350,fsrq,,J0024.6+0346,J0024.5+0346
59,J0025.7+6404,snr,,,
60,J0026.2-4812,,,,
61,J0026.7-4603,bll,,,
62,J0028.6+7507,bcu,,,
63,J0028.8+1951,bcu,,,
64,J0029.1-7045,bll,,,J0029.2-7043
65,J0030.2-1646,bcu,,,
66,J0030.3-4223,fsrq,,J0029.9-4221,J0030.2-4223
67,J0030.4+0451,PSR,J0030.3+0450,J0030.4+0451,J0030.4+0450
68,J0030.7-0209,bcu,,,
69,J0031.2-2320,,,,
70,J0031.3+0724,bcu,,,J0031.0+0724
71,J0031.6+0938,,,,
72,J0032.3-2852,bll,,,
73,J0032.3-5522,,,J0032.7-5519,J0032.7-5521
74,J0032.5+3912,,,,
75,J0033.6-1921,bll,J0033.6-1921,J0033.5-1921,J0033.5-1921
76,J0034.3-0534,PSR,,J0034.3-0534,J0034.4-0534
77,J0035.2+1513,bll,,J0035.1+1516,J0035.2+1515
78,J0035.9+5949,bll,J0036.7+5951,J0035.9+5951,J0035.8+5951
79,J0037.9+1239,bll,,J0038.0+1236,J0037.8+1238
80,J0038.0-2501,fsrq,,J0038.4-2504,J0038.3-2457
81,J0038.0+0012,bll,,,J0038.1+0015
82,J0039.0-2218,bcu,,,J0038.7-2215
83,J0039.1-0939,fsrq,,,
84,J0039.1+4330,bcu,,J0039.2+4331,J0039.1+4331
85,J0039.3+6256,,,J0038.6+6306,J0038.8+6259
86,J0040.3+4049,bcu,,,
87,J0040.5-2339,bcu,,,
88,J0041.9+3639,bll,,,
89,J0042.0+2318,fsrq,,J0041.9+2318,
90,J0042.5+4117,gal,,,J0042.5+4114
91,J0043.5-0444,bcu,,,
92,J0043.7-1117,bcu,,,
93,J0043.8+3425,fsrq,,J0043.6+3424,J0043.7+3426
94,J0045.2-3704,bcu,,,J0044.7-3702
95,J0045.3+2126,bll,,J0045.3+2127,J0045.3+2127
96,J0045.7+1217,bll,,,J0045.5+1218
97,J0046.7-8419,fsrq,,J0048.0-8412,J0046.7-8416
98,J0047.0+5658,bll,,J0046.8+5658,J0047.2+5657
99,J0047.5-2516,sbg,,J0047.3-2512,J0047.0-2516
100,J0047.9+5447,bcu,,,
101,J0048.0+3950,bll,,,
102,J0048.0+2236,fsrq,,J0048.0+2232,J0047.9+2232
103,J0048.1-6343,,,,J0048.8-6347
104,J0049.0+4224,,,,
105,J0049.4-5401,bcu,,,
106,J0049.4-4149,bcu,,,
107,J0049.7+0237,bll,,J0050.2+0235,J0050.2+0234
108,J0049.8-5737,fsrq,,J0049.8-5738,J0049.7-5738
109,J0050.0-4458,bcu,,,
110,J0050.4-0449,fsrq,,J0050.0-0446,J0050.1-0452
111,J0050.6-0929,BLL,J0050.5-0928,J0050.6-0928,J0050.6-0929
112,J0051.0-0649,fsrq,J0051.1-0647,J0051.1-0649,J0051.0-0648
113,J0051.2-6241,bcu,,J0051.4-6242,J0051.4-6241
114,J0051.6+6445,,,,
115,J0054.8-2455,bll,,J0054.9-2455,J0055.0-2454
116,J0055.2-1213,bcu,,,
117,J0056.3-2116,bll,,,J0056.8-2111
118,J0056.3-0935,bll,,,
119,J0057.9-0542,fsrq,,,
