,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL
0,J0000.9-0748,bzb,,J0000.9-0745
1,J0001.7-4159,,,J0001.9-4158
2,J0002.7+6220,,,J0003.1+6227
3,J0004.2+2208,,,J0004.3+2207
4,J0004.7-4736,bzq,,J0004.7-4737
5,J0006.1+3821,bzq,,J0005.7+3815
6,J0007.0+7303,PSR,J0007.4+7303,J0007.0+7303
7,J0007.7+6825c,,,J0005.1+6829
8,J0007.8+4713,bzb,,
9,J0008.7-2344,bzb,,
10,J0009.0+0632,bzb,,J0008.9+0635
11,J0009.1+5030,agu,,J0009.1+5031
12,J0009.9-3206,,,
13,J0010.5+6556c,agu,,
14,J0011.3+0054,bzq,,J0011.1+0050
15,J0012.9-3954,bzb,,J0013.1-3952
16,J0013.8+1907,bzb,,
17,J0014.3-0509,,,
18,J0017.4-0018,,,J0017.7-0019
19,J0017.6-0510,bzq,J0017.4-0503,J0017.4-0510
20,J0018.5+2945,bzb,,J0018.6+2945
21,J0018.8-8154,agu,,
22,J0019.4-5645,agu,,
23,J0021.6-2551,bzb,,J0021.7-2556
24,J0022.2-1853,agu,,J0022.2-1850
25,J0022.3-5141,agu,,
26,J0022.5+0607,bzb,,J0022.5+0607
27,J0023.2+4454,bzq,,J0023.0+4453
28,J0023.5+0924,psr,,J0023.5+0930
29,J0023.9-7204,glc,J0025.1-7202,J0023.9-7204
30,J0024.5+0346,bzq,,J0024.6+0346
31,J0029.2-7043,bzb,,
32,J0030.2-4223,bzq,,J0029.9-4221
33,J0030.4+0450,PSR,J0030.3+0450,J0030.4+0451
34,J0031.0+0724,,,J0030.7+0724
35,J0032.7-5521,,,J0032.7-5519
36,J0033.5-1921,bzb,J0033.6-1921,J0033.5-1921
37,J0034.4-0534,PSR,,J0034.3-0534
38,J0035.2+1515,bzb,,J0035.1+1516
39,J0035.8+5951,bzb,J0036.7+5951,J0035.9+5951
40,J0037.8+1238,bzb,,J0038.0+1236
41,J0038.1+0015,bzb,,
42,J0038.3-2457,bzq,,J0038.4-2504
43,J0038.7-2215,,,
44,J0038.8+6259,,,J0038.6+6306
45,J0039.1+4331,,,J0039.2+4331
46,J0042.5+4114,gal,,
47,J0043.7+3426,bzq,,J0043.6+3424
48,J0044.7-3702,agu,,
49,J0045.3+2127,bzb,,J0045.3+2127
50,J0045.5+1218,agu,,
51,J0046.7-8416,bzq,,J0048.0-8412
52,J0047.0-2516,sbg,,J0047.3-2512
53,J0047.2+5657,bzb,,J0046.8+5658
54,J0047.9+2232,bzq,,J0048.0+2232
55,J0048.8-6347,,,
56,J0049.7-5738,bzq,,J0049.8-5738
57,J0050.1-0452,bzq,,J0050.0-0446
58,J0050.2+0234,bzb,,J0050.2+0235
59,J0050.6-0929,bzb,J0050.5-0928,J0050.6-0928
60,J0051.0-0648,bzq,J0051.1-0647,J0051.1-0649
61,J0051.4-6241,agu,,J0051.4-6242
62,J0055.0-2454,agu,,J0054.9-2455
63,J0056.8-2111,agu,,
64,J0057.9+3311,bzq,,J0058.0+3314
65,J0057.9-3236,bzb,,J0058.4-3235
66,J0059.0-7242e,GAL,,J0101.3-7257
67,J0059.2-0151,agu,,
68,J0059.7-5700,agu,,
69,J0100.2+0746,bzb,J0100.2+0750,J0100.2+0747
70,J0101.2-6425,PSR,,J0101.0-6423
71,J0102.2+0943,,,J0102.3+0942
72,J0102.3+4216,bzq,,J0102.2+4223
73,J0102.7+5827,bzq,,J0102.8+5827
74,J0102.9+4838,psr,,J0103.1+4840
75,J0103.5+5336,agu,,
76,J0103.8+1324,,,
77,J0105.0-2411,bzq,,J0104.4-2406
78,J0105.3+3930,bzb,,J0105.7+3930
79,J0106.5+4854,,,J0106.7+4853
80,J0108.6+0135,bzq,,J0108.6+0135
81,J0109.0+1817,bzb,,J0109.0+1816
82,J0109.9+6132,bzq,,
83,J0110.3+6805,agu,,J0110.0+6806
84,J0112.1+2245,bzb,J0112.1+2247,J0112.0+2247
85,J0112.8+3208,bzq,,J0112.9+3207
86,J0113.2-3557,bzq,,
87,J0113.7+4948,bzq,,J0113.8+4945
88,J0114.7+1326,bzq,,J0114.4+1327
89,J0115.4+0358,bzb,,J0115.7+0357
90,J0115.7+2518,bzb,,J0115.5+2519
91,J0116.0-1134,bzq,,J0115.5-1132
92,J0116.6-6153,,,
93,J0118.6-4631,,,
94,J0118.8-2142,bzq,J0118.7-2139,J0118.7-2137
95,J0120.4-2700,bzb,J0120.5-2703,J0120.5-2700
96,J0122.6+3425,,,
97,J0124.5-0621,bzb,,J0124.6-0616
98,J0124.6-2322,,,
99,J0127.2+0324,,,J0127.0+0322
100,J0128.0+6330,spp,,
101,J0128.4+4431,bzq,,J0128.6+4439
102,J0129.4+2618,,,
103,J0131.1+6121,agu,,J0131.2+6121
104,J0132.8-1654,bzq,,J0132.6-1655
105,J0133.4-4408,,,
106,J0134.4+2636,agu,,J0134.4+2632
107,J0136.5+3905,bzb,J0136.6+3903,J0136.5+3905
108,J0136.9+4751,bzq,J0137.1+4751,J0137.0+4751
109,J0137.6-2430,bzq,,J0137.5-2428
110,J0137.7+5811,agu,,J0137.8+5814
111,J0141.5-0928,bzb,,J0141.7-0929
112,J0143.6-5844,,,J0143.9-5845
113,J0144.6+2704,bzb,J0144.5+2709,J0144.6+2703
114,J0145.1-2732,bzq,J0145.1-2728,J0144.9-2732
115,J0146.6-5206,agu,,
116,J0148.6+0127,agu,,
117,J0152.6+0148,bzb,,
118,J0153.9+0823,bzb,,J0154.1+0823
119,J0154.9+4434,bzb,,J0155.0+4433
120,J0156.4+3909,agu,,
121,J0156.5-2419,agu,,
122,J0157.2-5259,agu,,J0157.0-5259
123,J0158.0-4609,bzq,,J0157.5-4613
124,J0158.3-3931,bzb,,J0158.0-3931
125,J0158.4+0107,,,
126,J0158.6+8558,,,
127,J0159.5+1046,bzb,,J0159.5+1047
128,J0159.6-2741,bzb,,J0159.7-2741
129,J0200.4-4105,,,
130,J0201.5-6626,agu,,
131,J0203.6+7235,bzb,,J0203.5+7234
132,J0204.0+3045,bzq,,J0203.5+3044
133,J0205.0+1514,agn,,J0204.5+1516
134,J0205.3-1657,bzq,J0204.8-1704,J0205.0-1702
135,J0205.4+3211,bzq,,J0205.3+3217
136,J0205.8+6448,PSR,,J0205.6+6449
137,J0206.5-1149,bzq,,
138,J0207.9-6832,agu,,
139,J0209.5-5229,bzb,,J0209.3-5229
140,J0210.7-5102,agu,J0210.8-5100,J0210.6-5101
141,J0211.2+1050,bzb,,J0211.2+1049
142,J0212.1+5318,,,J0212.3+5319
143,J0213.1+2245,bzb,,J0213.2+2244
144,J0214.5+6251c,spp,,
145,J0216.9-6630,bzb,,J0217.9-6630
146,J0217.4+0836,bzb,,J0217.2+0834
147,J0217.5-0813,bzq,,J0217.0-0829
148,J0217.7+7353,bzq,,J0217.8+7353
149,J0217.9+0143,bzq,J0217.8+0146,J0217.9+0144
150,J0218.1+4233,PSR,,J0218.1+4232
151,J0218.7+6208c,spp,,
152,J0219.1-1725,bzb,,
153,J0219.2+3641,agu,,
154,J0221.0+3555,bzq,J0220.9+3607,J0221.0+3555
155,J0221.2+2516,,,
156,J0221.3+6025c,,,
157,J0221.4+6257c,spp,,J0220.0+6257
158,J0222.0-1615,bzq,,J0222.1-1618
159,J0222.6+4302,BZB,J0222.6+4302,J0222.6+4302
160,J0222.7+6820,,,
161,J0223.0-1118,,,J0223.0-1118
162,J0224.0+6204,,,J0224.0+6201c
163,J0225.9+6154c,,,
164,J0226.1+0943,,,J0226.3+0937
165,J0226.5-4444,agu,,
166,J0227.2+6029c,,,
167,J0227.3+0203,bzb,,
168,J0227.7+2249,,,
169,J0229.3-3644,bzq,J0229.5-3640,J0229.3-3644
170,J0230.8+4031,bzq,,J0230.8+4031
171,J0233.9+6238c,,,
172,J0237.1-6136,bzq,,J0238.3-6132
173,J0237.5-3603,bzb,,J0237.5-3603
174,J0237.8+2846,bzq,J0238.4+2855,J0237.9+2848
175,J0237.9+5238,,,
176,J0238.2-3905,,,
177,J0238.6-3117,bzb,,J0238.6-3117
178,J0238.7+1637,BZB,J0238.6+1636,J0238.6+1637
179,J0239.5+1324,,,J0239.5+1324
180,J0240.5+6113,HMB,J0240.3+6113,J0240.5+6113
181,J0241.3+6548,,,
182,J0242.5+0006,sbg,,J0242.7+0007
183,J0242.9+7118,bzb,,J0243.5+7116
184,J0245.1+2406,bzq,,J0245.4+2413
185,J0245.9-4652,bzq,J0245.6-4656,J0245.9-4652
186,J0248.1+6021,PSR,,J0248.3+6021
187,J0248.5+5131,,,J0248.7+5127
188,J0248.6+8440,agu,,
189,J0250.6+1713,bzq,,J0250.4+1715
190,J0250.7+5631,agu,,J0251.5+5634
191,J0251.0+2557,,,
192,J0252.7-2218,bzq,,J0252.8-2219
193,J0253.4+3218,agu,,
194,J0253.5+5107,bzq,,J0254.2+5107
195,J0253.9+5908,,,
196,J0257.7-1213,bzq,,J0257.8-1204
197,J0257.9+2025c,bzb,,J0258.0+2033
198,J0259.5+0740,bzq,,J0259.5+0743
199,J0302.7-7919,bzq,,
200,J0303.4-2407,bzb,J0303.7-2410,J0303.5-2406
201,J0303.5+4713,bzb,,J0303.1+4711
202,J0303.5-6209,bzq,,J0303.4-6209
203,J0303.5+6822,agu,,
204,J0304.5-2836,bzb,,
205,J0305.0-1602,,,J0305.2-1601
206,J0307.4+4915,,,J0307.5+4916
207,J0308.3+7442,psr,,J0308.6+7442
208,J0308.7+5954,,,
209,J0309.1+1027,bzq,,
210,J0309.3-0743,agu,,
211,J0310.0-6058,bzq,,J0310.1-6058
212,J0310.2-5013,,,
213,J0310.7+3813,bzq,,J0310.6+3812
214,J0312.5-0914,,,
215,J0312.6+0132,bzq,,J0312.6+0131
216,J0312.8+2013,,,
217,J0314.2-5106,bzb,,J0315.6-5109
218,J0315.8-1024,bzq,,J0315.9-1033
219,J0315.8-2611,bzb,,J0315.9-2609
220,J0316.1-6434,,,J0316.3-6438
221,J0316.1+0904,bzb,,J0316.1+0904
222,J0316.6+4119,rdg,,
223,J0318.0+0255,,,J0318.1+0254
224,J0319.6+1849,bzb,,J0319.7+1847
225,J0319.8+4130,rdg,J0320.0+4131,J0319.7+4130
226,J0322.0+2336,bzb,,J0322.1+2336
227,J0322.4-3717,,,
228,J0323.6-0108,bzb,,J0323.7-0106
229,J0324.8+3408,sey,,J0325.0+3403
230,J0325.1-5635,agu,,J0325.6-5626
231,J0325.6-1650,bzb,,J0325.9-1649
232,J0326.1+2226,bzq,,J0325.9+2219
233,J0326.1+0224,bzb,,J0326.2+0222
234,J0330.3+5816c,,,
235,J0332.1+6309,,,J0332.0+6310
236,J0332.5-1118,agu,,
237,J0333.7+2918,agu,,J0333.7+2919
238,J0334.2-4008,bzb,J0334.1-4006,J0334.2-4010
239,J0334.3+6538,agu,,J0334.3+6536
240,J0334.3-3728,bzb,,J0334.4-3727
241,J0335.3-4501,,,J0335.5-4501
242,J0336.0+7504,,,J0334.2+7501
243,J0337.0+3200c,,,
244,J0338.2+1306,,,
245,J0339.2-1734,agn,,J0339.1-1734
246,J0339.4-0144,bzq,,J0339.2-0143
247,J0340.4+4131,PSR,,J0340.4+4130
248,J0340.5+5307,,,J0341.5+5304
249,J0340.6-2113,bzb,,
250,J0340.7-2421,,,
251,J0341.8+3148c,,,
252,J0342.4+3859,bzq,,J0342.2+3859
253,J0345.2-2356,,,J0345.2-2355
254,J0348.6-2750,bzq,,J0348.5-2751
255,J0350.0-2104,bzq,J0349.8-2102,J0349.9-2104
256,J0353.2+5653,,,J0352.8+5658
257,J0354.1+8010,bzb,,J0354.6+8009
258,J0357.0-4950,bzb,,J0357.1-4949
259,J0357.8+3205,PSR,J0357.5+3205,J0357.8+3205
260,J0359.1+6003,bzq,,
261,J0359.5+5410,,,J0359.5+5410
262,J0401.6-3153,bzq,,J0401.3-3152
263,J0402.0-2616,bzb,,J0402.1-2618
264,J0403.9-3604,bzq,,J0403.9-3603
265,J0404.0+3843,,,
266,J0404.6+5822,,,
267,J0405.8-1309,bzq,,J0405.6-1309
268,J0407.3-3826,bzq,J0407.6-3829,J0407.4-3827
269,J0407.7+0740,bzq,,J0407.5+0749
270,J0409.5+0509,,,
271,J0409.8-0357,,,J0409.9-0357
272,J0413.5-5332,bzq,J0412.9-5341,J0413.4-5334
273,J0414.9-0855,,,
274,J0415.2+5518,,,
275,J0416.0-4355,,,
276,J0416.7-1849,bzq,,J0416.5-1851
277,J0416.8+0105,bzb,,J0416.8+0107
278,J0418.9+6636,,,
279,J0420.9-3743,,,
280,J0422.1-0645,bzq,,J0422.0-0647
281,J0423.2-0120,BZQ,J0423.1-0112,J0423.2-0118
282,J0423.4+5612,,,
283,J0423.8+4149,bzb,,J0423.8+4148
284,J0424.3-5332,agu,,
285,J0424.7+0034,bzb,,J0424.8+0036
286,J0426.6+0509c,bzq,,J0427.5+0515
287,J0426.7+5434,,,J0426.5+5437
288,J0427.2-6705,,,
289,J0428.0-3845,,,
290,J0428.6-3756,bzb,J0428.7-3755,J0428.6-3756
291,J0430.2+3508c,,,J0430.3+3511c
292,J0430.4-2507,bzb,,J0430.4-2509
293,J0431.5+3622,,,
294,J0433.4-6029,agu,,
295,J0433.5+2905,bzb,,J0433.5+2905
296,J0433.7+3233,bzq,,J0433.5+3230
297,J0433.9-5726,,,
298,J0434.1-2014,bzb,,J0434.1-2018
299,J0435.1-2341,agu,,
300,J0436.2+6759,agu,,
301,J0437.3-4712,PSR,,J0437.2-4715
302,J0438.0-7331,,,
303,J0438.8-4521,agu,,
304,J0439.0-1252,bzq,,J0438.8-1250
305,J0439.8-1858,,,J0439.8-1857
306,J0440.1-3211,agu,,
307,J0440.4+1433,agu,,
308,J0440.5+2554c,,,
309,J0440.9+2749,bzb,,J0440.6+2748
310,J0442.7-0017,bzq,,J0442.7-0019
311,J0448.5-1633,bzb,,J0448.5-1633
312,J0448.6-2118,bzq,,
313,J0448.9+1121,bzq,,J0448.6+1118
314,J0449.4-4350,bzb,J0449.7-4348,J0449.5-4350
315,J0451.8-7011,gal,,
316,J0453.1-2807,bzq,,J0453.2-2805
317,J0455.8-6920,gal,,
318,J0456.1-4613,bzq,,J0455.6-4618
319,J0456.5+2658,agu,,
320,J0456.5-3132,bzq,,J0456.4-3132
321,J0457.0-2325,bzq,J0457.1-2325,J0457.0-2325
322,J0458.4+0654,,,J0457.9+0649
323,J0501.2-0155,bzq,,J0501.0-0200
324,J0502.5+0607,bzq,,
325,J0503.2+4643,spp,,
326,J0503.3+4517,agu,,J0503.2+4526
327,J0505.4+0419,bzb,,J0505.2+0420
328,J0505.5+0501,bzq,,
329,J0505.8-0411,bzq,,J0505.8-0416
330,J0505.9+6116,agu,,J0505.9+6121
331,J0506.5-0901,bzb,,
332,J0506.7-5435,agu,,J0506.9-5435
333,J0507.5-6102,bzq,,J0507.3-6103
334,J0508.0+6737,bzb,J0507.9+6739,J0507.9+6738
335,J0508.1-1936,agu,,
336,J0509.2+1013,bzq,,J0509.2+1015
337,J0509.4+0542,bzb,,J0509.3+0540
338,J0509.9+1802,bzq,,J0510.0+1800
339,J0512.9+4040,agu,,
340,J0515.0-4411,,,J0515.6-4404
341,J0515.5+7355,,,J0515.2+7355
342,J0515.9+1528,bzb,,J0515.9+1528
343,J0516.5-4601,bzq,,
344,J0516.7+2634,,,
345,J0516.8-6207,bzb,J0516.2-6200,J0516.7-6207
346,J0517.0+4532,bzq,,
347,J0517.5+0900,bzq,,J0517.6+0857
348,J0521.4-1736,bzq,,
349,J0521.7+2113,bzb,,J0521.7+2114
350,J0521.9+0108,bzq,,J0521.6+0103
351,J0523.0-3628,AGN,,J0522.8-3632
352,J0523.3-2530,,,J0523.5-2529
353,J0524.1+2843,,,J0524.1+2842
354,J0525.5-6011,,,
355,J0526.1-4829,bzq,,J0526.3-4829
356,J0526.6-6825e,GAL,,
357,J0526.6+2248,,,
358,J0526.6+4308,spp,,
359,J0526.8+6326,agu,,
360,J0529.2+0935,agu,,
361,J0529.3+3821,,,
362,J0530.8-0517c,bzq,,
363,J0530.8+1333,bzq,J0531.0+1331,J0531.0+1331
364,J0531.8-3831,bzq,,
365,J0531.8-8324,bzq,,J0533.0-8324
366,J0532.0-4826,agu,,
367,J0532.5-7223,agu,,
368,J0532.7+0733,bzq,,J0532.9+0733
369,J0533.0+4823,bzq,,J0533.0+4825
370,J0533.3-6651,gal,,
371,J0533.9+6759,,,J0533.9+6758
372,J0534.5+2201,PSR,J0534.6+2201,J0534.5+2200
373,J0534.8-0548c,,,
374,J0534.9-0450c,,,
375,J0536.2-3348,,,J0536.2-3348
376,J0537.7-5716,agu,,J0537.7-5717
377,J0538.1+2718,spp,,J0538.6+2717
378,J0538.5-3909,,,J0538.4-3910
379,J0538.5-0534c,,,
380,J0538.8-4405,BZB,J0538.8-4403,J0538.8-4404
381,J0539.3-0323,,,
382,J0539.3-2841,bzq,,J0539.1-2847
383,J0540.1-7554,,,
384,J0540.3+3549c,,,J0541.1+3542c
385,J0540.4+5822,agu,,
386,J0540.4-5415,bzq,,
387,J0541.8-0203c,,,J0541.9-0204c
388,J0543.2-0120c,,,
389,J0543.9-5532,bzb,,J0543.8-5531
390,J0545.6+6018,,,J0545.6+6022
391,J0547.1+0020c,,,J0547.0+0020c
392,J0547.4+3722,,,
393,J0547.5-0141c,,,
394,J0553.9+3104,spp,,J0553.9+3105
395,J0555.9-4348,,,
396,J0558.2-3837,bzb,,J0557.6-3831
397,J0558.7-7501,bzb,,J0559.2-7500
398,J0600.8-1949,,,J0600.5-2006
399,J0600.9+3839,,,J0600.9+3838
400,J0601.1-7037,bzq,,J0600.7-7037
401,J0602.3+5315,agu,,
402,J0602.7-4011,,,J0603.0-4012
403,J0604.2-4817,agu,,J0604.2-4817
404,J0605.0+0001,,,J0605.1+0005
405,J0605.3+3758,,,J0605.3+3800
406,J0607.4+4739,bzb,,J0607.2+4739
407,J0607.5-0618c,,,J0608.1-0630c
408,J0608.0-1521,bzq,,J0608.0-1521
409,J0608.0-0836,bzq,,J0608.2-0837
410,J0608.3+2037,,,J0608.3+2038c
411,J0609.4-0248,,,J0609.3-0244
412,J0609.6-1847,bzb,,
413,J0610.3-2059,PSR,,J0610.7-2059
414,J0611.0+4321,,,
415,J0611.8-6059,bzq,,
416,J0612.8+4122,bzb,,J0612.7+4120
417,J0613.8-0200,PSR,J0613.9-0202,J0613.7-0200
418,J0614.1-3329,PSR,J0614.3-3330,J0614.1-3328
419,J0616.6+2425,,,
420,J0616.9+5701,bzb,,J0616.9+5701
421,J0617.2+2234e,SNR,J0617.4+2234,J0617.2+2233
422,J0617.6-1716,bzb,,J0617.7-1718
423,J0620.8-2556,,,
424,J0621.2+2508,,,J0621.5+2508
425,J0621.9+3750,,,J0622.2+3751
426,J0622.9+3326,agu,,
427,J0625.2+4441,bzb,,J0625.4+4440
428,J0626.8-4258,,,J0626.6-4254
429,J0627.1-3528,rdg,,J0627.3-3530
430,J0628.9-6246,agu,,
431,J0629.3-2001,bzb,,J0629.6-2000
432,J0630.9-2406,bzb,,J0630.9-2406
433,J0631.5+1035,PSR,J0631.8+1034,J0631.4+1037
434,J0631.6+0640,spp,,
435,J0631.7+0428,,,
436,J0633.7+0633,PSR,J0633.5+0634,J0633.7+0632
437,J0633.8+7132,,,
438,J0633.9+1746,PSR,J0634.0+1745,J0633.9+1746
439,J0634.3+0356c,,,J0634.3+0402c
440,J0635.0-2334,bzq,,
441,J0635.5-7516,bzq,,J0636.1-7521
442,J0636.0+0554,spp,,
443,J0637.0+0416c,,,
444,J0637.8+0737,spp,,
445,J0641.1+1006c,,,
446,J0641.2+7315,,,J0639.9+7325
447,J0642.9+0319,,,
448,J0643.2+0858,bzq,J0643.2+0858,J0643.2+0859
449,J0644.2-6713,agu,,
450,J0644.6+6034,,,J0645.5+6033
451,J0647.7+0032,,,J0647.3+0031
452,J0647.7-5132,agu,,
453,J0647.8-6102,agu,,J0648.6-6052
454,J0648.7-1739,bzq,,J0648.7-1740
455,J0648.9+1516,bzb,,J0648.8+1516
456,J0649.7-3138,agu,,
457,J0650.4-1632,agu,,J0650.6-1635
458,J0650.7+2505,bzb,,J0650.7+2503
459,J0653.7+2818,,,
460,J0654.2+4514,bzq,J0654.3+4513,J0654.3+4514
461,J0654.5+5043,bzq,J0654.3+5042,J0654.4+5042
462,J0656.2-0320,bzq,,J0656.2-0321
463,J0658.4+0633,,,J0658.5+0641
464,J0659.7+1417,PSR,,J0659.8+1414
465,J0700.3+1710,agu,,
466,J0700.3-6611,bzb,J0700.0-6611,J0700.4-6611
467,J0701.7-4630,bzq,,J0702.0-4628
468,J0702.7-1951,agu,,J0702.2-1954
469,J0703.1-3912,agu,,
470,J0705.3-1043c,,,J0705.9-1051c
471,J0706.5+3744,bzb,,J0706.5+3744
472,J0706.5+7741,agu,,J0707.3+7742
473,J0706.7-4845,agu,,J0706.3-4849
474,J0708.5-1020c,,,
475,J0709.0+2236,,,
476,J0709.3-0256,agu,,
477,J0710.5+5908,bzb,,J0710.6+5911
478,J0710.8+4733,bzb,,J0711.4+4731
479,J0712.9+5032,bzb,J0712.9+5034,J0712.7+5033
480,J0713.5-0952,,,J0713.7-0950
481,J0714.0+1933,bzq,J0714.2+1934,J0714.0+1935
482,J0718.7-4320,bzb,,J0718.7-4320
483,J0719.2-5000,,,J0718.8-4958
484,J0719.3+3306,bzq,J0719.4+3302,J0719.3+3306
485,J0721.2-0223,agu,,
486,J0721.5+0404c,bzq,,J0721.4+0401
487,J0721.9+7120,bzb,J0722.0+7120,J0721.9+7120
488,J0723.9+2901,,,J0723.6+2908
489,J0725.3+1426,BZQ,,
490,J0725.6+2159,bzq,,
491,J0725.8-0549,,,
492,J0726.0-0053,agu,,J0725.9-0053
493,J0727.0-4726,bzq,,
494,J0729.9+3304,bzb,,J0730.0+3305
495,J0730.2-1141,bzq,J0730.4-1142,J0730.3-1141
496,J0730.6-6607,agu,,
497,J0733.9+5023,bzq,,
498,J0734.2-7706,agu,,J0734.1-7715
499,J0734.6-1558,PSR,,J0734.7-1557
500,J0737.1-3235,,,J0737.4-3239
501,J0737.5-8246,,,
502,J0738.0+1742,bzb,J0738.2+1738,J0738.2+1741
503,J0739.2+0138,bzq,,J0739.1+0138
504,J0742.4-2821,PSR,,J0742.8-2822
505,J0742.6+5442,bzq,,J0742.2+5443
506,J0742.7-3113,,,J0743.0-3110
507,J0744.1-2523,,,J0744.1-2523
508,J0745.0+7436,bzb,,J0745.2+7438
509,J0745.5+7910,,,
510,J0745.9+8512,,,
511,J0746.0-0222,,,
512,J0746.5-0713,agu,,J0746.5-0711
513,J0746.5-4758,agu,,
514,J0746.6+2549,bzq,,J0746.6+2548
515,J0747.2-1654,agu,,
516,J0747.5-3305,agu,,J0747.4-3303
517,J0747.7+4501,,,
518,J0748.5-2204,,,
519,J0750.6+1230,bzq,,J0750.6+1235
520,J0751.1+1809,PSR,,J0751.1+1807
521,J0753.0+5352,bzb,,J0752.8+5353
522,J0753.2-1634,,,
523,J0753.2+1937,,,
524,J0754.4-1147,bzb,,J0754.4-1147
525,J0754.8+4824,bzb,,
526,J0756.3-6433,,,
527,J0757.1+0957,bzb,,J0757.2+0956
528,J0758.0-2615c,,,
529,J0758.8-1448,,,J0758.6-1450
530,J0801.5+4401,bzb,,J0800.5+4407
531,J0802.6-0940,,,
532,J0802.7-5615,,,J0802.4-5622
533,J0803.2-0339,,,J0803.1-0339
534,J0805.2-0121,bzq,,
535,J0805.3+7535,bzb,,J0804.7+7534
536,J0805.5+6145,bzq,,J0806.2+6148
537,J0807.0-6511,,,
538,J0807.1-0543,bzb,,J0807.0-0544
539,J0808.2-0750,bzq,,J0808.2-0750
540,J0809.8+5218,bzb,,J0809.5+5219
541,J0811.1-7527,bzb,,J0811.1-7527
542,J0811.4+0149,bzb,,J0811.2+0148
543,J0812.6+6511,,,
544,J0814.0-1006,bzb,,J0814.5-1011
545,J0814.7+6429,bzb,,J0815.0+6434
546,J0816.4-1311,bzb,,J0816.4-1311
547,J0816.5+5739,bzb,,J0816.7+5739
548,J0816.7-2420,agu,,
549,J0816.9+2049,bzb,,
550,J0817.9+3238,bzb,,
551,J0818.2-0935,bzb,,J0818.0-0938
552,J0818.2+4223,bzb,J0818.3+4222,J0818.2+4222
553,J0819.3+2750,bzb,,
554,J0819.6-0803,bzb,,
555,J0821.0-4254,spp,,
556,J0823.0-4246,spp,,J0823.3-4248
557,J0823.0+4041,agu,,
558,J0823.4-4305,spp,,
559,J0824.7+3914,bzq,,
560,J0824.9+5552,bzq,J0824.9+5551,J0825.0+5555
561,J0825.9+0308,bzb,,J0825.9+0309
562,J0825.9-2229,bzb,J0826.0-2228,J0825.8-2230
563,J0825.9-3216,agu,,J0825.9-3216
564,J0830.5+2407,bzq,,J0830.5+2407
565,J0831.9+0429,bzb,,J0831.6+0429
566,J0833.1-4511e,PWN,,
567,J0834.3+4400,,,
568,J0834.3+4221,bzq,,J0834.4+4221
569,J0835.3-4510,PSR,J0835.4-4510,J0835.3-4510
570,J0838.8-2828,,,J0838.6-2828
571,J0839.4+1802,bzb,,
572,J0839.6+0059,bzq,,J0839.5+0059
573,J0839.7+3541,bzb,,
574,J0840.7+1310,rdg,,J0840.8+1310
575,J0841.3-3556,,,J0841.4-3558
576,J0841.6+7052,bzq,,J0842.2+7054
577,J0842.9-4721,spp,,
578,J0843.6+6715,,,J0843.4+6718
579,J0843.9+5312,bzb,,J0844.0+5314
580,J0844.8-5459,agu,,J0845.0-5459
581,J0844.9+6214,,,
582,J0846.0+2820,,,
583,J0846.7-4053,,,
584,J0847.0-2334,agn,,J0846.9-2334
585,J0847.2+1134,bzb,,J0847.2+1134
586,J0848.1-0703,bzb,,
587,J0848.5-4535,spp,,
588,J0848.7-4324,,,
589,J0849.0+0455,bzb,,J0848.6+0504
590,J0849.2+6606,bzb,,J0849.3+6607
591,J0849.8+4852,bzb,,J0849.9+4852
592,J0849.9-3540,agu,,J0849.6-3540
593,J0850.1-4846,,,
594,J0850.2-1212,bzq,,J0850.0-1213
595,J0851.7-4635,spp,,
596,J0852.4-5756,agu,,
597,J0853.1-3659,agu,,
598,J0853.5-4711,spp,,
599,J0854.7-4501,,,J0854.6-4504
600,J0854.8+2005,BZB,J0855.4+2009,J0854.8+2006
601,J0855.1-0712,agu,,
602,J0855.4-4625,spp,,
603,J0856.0+7136,agu,,
604,J0856.3+2058,bzb,,J0856.6+2103
605,J0856.6-1105,bzb,,J0856.6-1105
606,J0858.0-4815,,,
607,J0858.1-1952,agu,,
608,J0858.2-3129,agu,,
609,J0858.3-4333,,,
610,J0859.4-2532,,,
611,J0900.5-4441c,,,
612,J0900.9+6736,,,
613,J0901.7-4655,,,
614,J0902.4+2050,bzb,,J0902.4+2050
615,J0902.8-4741c,,,J0902.5-4731c
616,J0903.4+4651,bzq,,
617,J0903.6+4238,agn,,
618,J0904.0-4823c,,,
619,J0904.8-3513,agu,,J0904.7-3514
620,J0904.9-5735,agn,,J0905.1-5736
621,J0905.6+1357,bzb,,J0905.5+1356
622,J0906.2-0906,agu,,J0906.4-0903
623,J0907.9-4716c,,,
624,J0908.5-4913,PSR,,J0906.3-4855c
625,J0908.7-2119,,,J0908.7-2119
626,J0909.1+0121,bzq,,J0909.0+0126
627,J0909.2+2308,bzb,,J0909.2+2310
628,J0909.6+0158,bzb,J0909.7+0145,
629,J0909.7-0229,bzq,,J0909.6-0229
630,J0910.4-5050,agu,J0910.2-5044,J0910.4-5055
631,J0910.6+3329,bzb,,J0910.7+3332
632,J0910.9+2246,bzq,,J0911.0+2247
633,J0912.1+4126,bzq,,J0912.3+4127
634,J0912.5+2758,bzb,,J0912.6+2756
635,J0912.9-2102,bzb,,
