,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL
1537,J1919.5-7324,,,
1538,J1921.1+1436c,,,
1539,J1921.3+0131,,,J1921.2+0132
1540,J1921.3-1231,bzb,,J1921.1-1234
1541,J1921.9-1608,bzb,,J1922.0-1608
1542,J1922.6-7454,,,
1543,J1923.2+1408e,SNR,J1923.0+1411,
1544,J1923.4+2013,,,
1545,J1923.5-2105,bzq,J1923.3-2101,J1923.5-2104
1546,J1924.8+1724c,,,J1925.0+1720c
1547,J1924.8-2912,bzq,,J1925.2-2919
1548,J1924.9-1036,,,
1549,J1925.7-7836c,,,
1550,J1927.0+6153,bzb,,J1926.8+6153
1551,J1927.5+6117,bzb,,
1552,J1928.8+1740c,psr,,J1929.0+1741c
1553,J1931.1+0938,bzb,,J1931.2+0939
1554,J1931.8+1325,,,
1555,J1932.1+1913,spp,,J1932.1+1914c
1556,J1933.3+0722,agu,,J1933.3+0723
1557,J1936.5-0855,,,
1558,J1936.8-4721,bzb,,J1936.9-4720
1559,J1936.9+8402,agu,,
1560,J1937.2-3955,bzq,,J1938.2-3957
1561,J1940.8-6213,agu,,
1562,J1941.6+7218,agu,,J1941.6+7214
1563,J1942.5-1024,sey,,
1564,J1942.7-8049c,,,
1565,J1942.8+1033,agu,,J1942.7+1033
1566,J1942.9-3528,,,
1567,J1944.3+7325,,,
1568,J1946.1-3115,bzb,,J1946.1-3118
1569,J1946.4-5402,,,J1946.7-5404
1570,J1946.7-1118,,,
1571,J1947.8-0739,,,
1572,J1949.4-1457,,,
1573,J1949.7+2405,,,
1574,J1949.9+0907,,,J1950.0+0904
1575,J1950.3+1223,,,J1950.4+1226
1576,J1952.6-3252,,,
1577,J1953.0+3253,PSR,J1953.2+3249,J1952.9+3252
1578,J1954.3+2836,PSR,J1954.4+2838,J1954.3+2836
1579,J1954.4-1607,,,
1580,J1954.6-1122,bzq,,J1954.8-1124
1581,J1955.0-5639,agu,,
1582,J1955.2+1356,bzq,,J1954.8+1402
1583,J1955.9-0241,,,J1956.2-0238
1584,J1957.9+5033,PSR,,J1957.6+5033
1585,J1958.2-3848,bzq,,J1958.4-3847
1586,J1958.4-3012,bzb,,J1958.4-3013
1587,J1958.6+4020,,,
1588,J1958.6+2845,PSR,,J1958.6+2845
1589,J1958.9+3844,agu,,
1590,J1959.1-4245,bzq,,J1959.3-4241
1591,J1959.5+2047,PSR,,J1959.6+2047
1592,J1959.6-2931,agu,,
1593,J1959.9+4212,agu,,
1594,J1959.9-4727,,,J1959.7-4730
1595,J1959.9+3336c,,,
1596,J2000.0+6509,bzb,J2000.2+6506,J2000.0+6508
1597,J2000.8-1751,bzq,,J2000.9-1749
1598,J2001.1+4352,bzb,J2001.0+4352,J2001.1+4351
1599,J2001.7+7042,bzb,,J2001.9+7040
1600,J2002.8-2150,,,
1601,J2004.4+3339c,,,J2004.7+3343
1602,J2004.5+7754,bzb,,J2006.0+7751
1603,J2004.6+7004,,,J2004.8+7004
1604,J2006.2-0929,,,
1605,J2006.5-2256,,,J2006.6-2302
1606,J2006.9-1734,,,
1607,J2007.9-4430,sey,,J2007.9-4430
1608,J2009.1-0339,,,
1609,J2009.2-1505,,,
1610,J2009.5-4850,BZB,J2009.4-4850,J2009.5-4849
1611,J2009.7+7225,bzb,,J2009.1+7228
1612,J2009.8+2747,,,
1613,J2012.1+4630,bzb,,J2012.2+4629
1614,J2012.4+3955c,,,
1615,J2013.8+4115c,,,
1616,J2014.0-0046,bzb,,J2014.5-0047
1617,J2014.7+0646,,,J2014.4+0647
1618,J2015.1-0137,bzb,,J2015.3-0129
1619,J2015.6+3709,agu,,J2015.7+3708
1620,J2016.3-0904,bzb,,J2016.2-0903
1621,J2017.3+0603,PSR,J2017.2+0602,J2017.3+0603
1622,J2017.4-3215,,,
1623,J2017.5-1618,,,J2017.9-1621
1624,J2018.0+3626,,,
1625,J2018.2+3850c,agu,,
1626,J2019.1+4040,spp,,
1627,J2020.0+4159,,,
1628,J2021.0+3651,PSR,J2020.8+3649,J2021.0+3651
1629,J2021.5+0632,,,
1630,J2021.5+4026,PSR,J2021.5+4026,J2021.5+4026
1631,J2022.3-4518,bzb,,J2022.5-4532
1632,J2022.5+7614,bzb,,
1633,J2022.8+3843c,snr,,
1634,J2023.4-1137,bzq,,J2023.7-1141
1635,J2025.1+3341,agu,,
1636,J2025.6-0736,bzq,J2025.6-0736,J2025.6-0735
1637,J2028.3+3332,,,
1638,J2029.4+4924,bzb,,J2029.2+4924
1639,J2030.0+3640,PSR,,J2030.0+3641
1640,J2030.3-0622,bzq,,J2030.3-0617
1641,J2030.7+4417,,,J2030.9+4411
1642,J2031.0+1938,agu,,
1643,J2031.4-1842,,,
1644,J2031.7+1223,bzb,,J2031.5+1219
1645,J2032.1+4049,HMB,,
1646,J2032.2+4126,PSR,J2032.2+4122,J2032.2+4127
1647,J2033.6+3927,,,J2032.8+3928
1648,J2034.7-4201,,,J2034.6-4202
1649,J2034.9+3632,,,J2034.7+3639
1650,J2035.4+1058,bzq,,J2035.4+1100
1651,J2036.0+4224c,,,
1652,J2036.6+6551,bzb,,J2038.1+6552
1653,J2038.0+4145c,,,
1654,J2039.1-1046,bzb,,J2039.0-1047
1655,J2039.6+5218,bzb,,
1656,J2039.8-5620,,,J2039.4-5621
1657,J2040.1+4105c,,,
1658,J2040.2-7109,agu,,
1659,J2041.2+4735,,,
1660,J2041.5+5003,spp,,
1661,J2042.0+4252c,,,
1662,J2042.1+2428,bzb,,J2042.2+2427
1663,J2042.8-7317,,,J2043.0-7317
1664,J2043.2+1711,PSR,,J2043.2+1709
1665,J2043.3+5105,spp,,
1666,J2043.7+2743,PSR,,J2043.7+2740
1667,J2044.4-4757,,,
1668,J2046.0+4954,spp,,J2046.0+4954
1669,J2046.2-4259,,,
1670,J2046.7+1055,psr,,J2047.6+1055
1671,J2047.9+4536c,,,
1672,J2049.8+1001,agu,,J2049.7+1003
1673,J2050.0+0408,bzb,,J2050.1+0407
1674,J2051.0+3040e,SNR,,
1675,J2051.8+5054,,,J2052.2+5059
1676,J2053.2+1212c,,,
1677,J2055.4-0023,bzb,,J2055.5-0023
1678,J2055.8+2539,PSR,J2055.5+2540,J2055.8+2539
1679,J2055.8+4754,,,
1680,J2056.2-4715,bzq,J2056.1-4715,J2056.3-4714
1681,J2056.7+4939,agu,,J2056.7+4938
1682,J2102.2+4546,NOV,,
1683,J2103.3+4357c,,,
1684,J2103.4+4706,agu,,
1685,J2103.5-1112,,,
1686,J2103.6-6236,agu,,J2103.9-6237
1687,J2104.9+3555,,,
1688,J2107.6+2506,,,
1689,J2107.8+3652,,,
1690,J2107.9+5207c,,,J2107.5+5202c
1691,J2108.6-1603,,,
1692,J2108.7-0246,bzb,,J2108.5-0249
1693,J2108.9-6636,agu,,J2108.6-6646
1694,J2109.9+0807,bzq,,J2110.0+0811
1695,J2110.3+3822,,,J2110.3+3820
1696,J2111.3+4605,,J2110.8+4608,J2111.3+4607
1697,J2112.3-4832,,,
1698,J2112.5+0818,agu,,
1699,J2112.5-3042,,,J2112.5-3044
1700,J2114.1+5440,,,
1701,J2115.3+2932,bzq,,J2115.5+2937
1702,J2115.4+1213,,,
1703,J2116.2+3339,bzb,,J2116.1+3338
1704,J2117.5+3730,,,J2116.8+3729
1705,J2120.6-1301,,,J2120.2-1259
1706,J2121.0+1901,bzq,,J2120.9+1901
1707,J2124.0-1513,,,
1708,J2124.6-3357,PSR,J2124.7-3358,J2124.7-3358
1709,J2125.0-4632,,,
1710,J2127.8+3614,bzb,,
1711,J2128.7+5824,,,
1712,J2129.8-0428,psr,,J2129.8-0427
1713,J2131.0-5417,,,
1714,J2131.6-0914,bzb,,J2131.7-0914
1715,J2132.5+2605,,,
1716,J2133.5-6431,,,J2134.3-6429
1717,J2133.8-0154,bzb,,J2134.0-0203
1718,J2133.9+6645,,,
1719,J2134.5-6513,agu,,
1720,J2134.6-2130,,,J2134.5-2130
1721,J2135.6-4959,bzq,,J2135.8-4957
1722,J2139.1-2054,bzb,,
1723,J2139.3-4236,bzb,J2139.4-4238,J2139.3-4235
1724,J2139.8+4714,,,J2139.9+4715
1725,J2141.7-3739,,,
1726,J2143.2-3929,bzb,,J2143.1-3927
1727,J2143.5+1743,bzq,J2143.2+1741,J2143.4+1742
1728,J2144.8-3356,bzq,,J2145.4-3358
1729,J2146.5-1530,bzq,,
1730,J2146.6-1345,bzb,,J2146.6-1345
1731,J2147.3+0930,bzq,J2147.1+0931,J2147.2+0929
