,3FGL,CLASS1-3FGL,4FGLDR1,CLASS1-4FGLDR1,4FGLDR1-3FGL,4FGLDR2,CLASS1-4FGLDR2,4FGLDR2-3FGL,4FGLDR3,CLASS1-4FGLDR3,4FGLDR3-3FGL,4FGLDR4,CLASS1-4FGLDR4,4FGLDR4-3FGL,status
59,J0025.7+6404,snr,J0025.3+6408,snr,J0025.7+6404,J0025.3+6408,snr,J0025.7+6404,J0025.3+6408,snr,J0025.7+6404,J0025.3+6408,snr,J0025.7+6404,2
61,J0026.7-4603,bll,J0026.6-4600,bll,J0026.7-4603,J0026.6-4600,bll,J0026.7-4603,J0026.6-4600,bll,J0026.7-4603,J0026.6-4600,bll,J0026.7-4603,2
62,J0028.6+7507,bcu,J0028.1+7505,bcu,J0028.6+7507,J0028.1+7505,bcu,J0028.6+7507,J0028.1+7505,bcu,J0028.6+7507,J0028.1+7505,bcu,J0028.6+7507,2
63,J0028.8+1951,bcu,J0028.4+2001,fsrq,J0028.8+1951,J0028.4+2001,fsrq,J0028.8+1951,J0028.5+2001,fsrq,J0028.8+1951,J0028.5+2001,fsrq,J0028.8+1951,3
64,J0029.1-7045,bll,J0029.0-7044,bll,J0029.1-7045,J0029.0-7044,bll,J0029.1-7045,J0029.0-7044,bll,J0029.1-7045,J0029.0-7044,bll,J0029.1-7045,2
65,J0030.2-1646,bcu,J0030.2-1647,bll,J0030.2-1646,J0030.2-1647,bll,J0030.2-1646,J0030.2-1647,bll,J0030.2-1646,J0030.2-1647,bll,J0030.2-1646,3
66,J0030.3-4223,fsrq,J0030.3-4224,fsrq,J0030.3-4223,J0030.3-4224,fsrq,J0030.3-4223,J0030.3-4224,fsrq,J0030.3-4223,J0030.3-4224,fsrq,J0030.3-4223,2
67,J0030.4+0451,PSR,J0030.4+0451,PSR,J0030.4+0451,J0030.4+0451,PSR,J0030.4+0451,J0030.4+0451,MSP,J0030.4+0451,J0030.4+0451,MSP,J0030.4+0451,3
68,J0030.7-0209,bcu,J0030.6-0212,bcu,J0030.7-0209,J0030.6-0212,bcu,J0030.7-0209,J0030.6-0212,fsrq,J0030.7-0209,J0030.6-0212,fsrq,J0030.7-0209,3
70,J0031.3+0724,bcu,J0031.3+0726,bll,J0031.3+0724,J0031.3+0726,bll,J0031.3+0724,J0031.3+0726,bll,J0031.3+0724,J0031.3+0726,bll,J0031.3+0724,3
72,J0032.3-2852,bll,J0032.4-2849,bll,J0032.3-2852,J0032.4-2849,bll,J0032.3-2852,J0032.4-2849,bll,J0032.3-2852,J0032.4-2849,bll,J0032.3-2852,2
75,J0033.6-1921,bll,J0033.5-1921,bll,J0033.6-1921,J0033.5-1921,bll,J0033.6-1921,J0033.5-1921,bll,J0033.6-1921,J0033.5-1921,bll,J0033.6-1921,2
76,J0034.3-0534,PSR,J0034.3-0534,PSR,J0034.3-0534,J0034.3-0534,PSR,J0034.3-0534,J0034.3-0534,MSP,J0034.3-0534,J0034.3-0534,MSP,J0034.3-0534,3
77,J0035.2+1513,bll,J0035.2+1514,bll,J0035.2+1513,J0035.2+1514,bll,J0035.2+1513,J0035.2+1514,bll,J0035.2+1513,J0035.2+1514,bll,J0035.2+1513,2
78,J0035.9+5949,bll,J0035.9+5950,bll,J0035.9+5949,J0035.9+5950,bll,J0035.9+5949,J0035.9+5950,bll,J0035.9+5949,J0035.9+5950,bll,J0035.9+5949,2
79,J0037.9+1239,bll,J0037.8+1239,bll,J0037.9+1239,J0037.8+1239,bll,J0037.9+1239,J0037.8+1239,bll,J0037.9+1239,J0037.8+1239,bll,J0037.9+1239,2
80,J0038.0-2501,fsrq,J0038.2-2459,fsrq,J0038.0-2501,J0038.2-2459,fsrq,J0038.0-2501,J0038.2-2459,fsrq,J0038.0-2501,J0038.2-2459,fsrq,J0038.0-2501,2
81,J0038.0+0012,bll,J0038.1+0012,bll,J0038.0+0012,J0038.1+0012,bll,J0038.0+0012,J0038.1+0012,bll,J0038.0+0012,J0038.1+0012,bll,J0038.0+0012,2
82,J0039.0-2218,bcu,J0039.1-2219,bcu,J0039.0-2218,J0039.1-2219,bcu,J0039.0-2218,J0039.1-2219,bll,J0039.0-2218,J0039.1-2219,bll,J0039.0-2218,3
83,J0039.1-0939,fsrq,J0039.0-0946,fsrq,J0039.1-0939,J0039.0-0946,fsrq,J0039.1-0939,J0039.0-0946,fsrq,J0039.1-0939,J0039.0-0946,fsrq,J0039.1-0939,2
84,J0039.1+4330,bcu,J0039.1+4330,bcu,J0039.1+4330,J0039.1+4330,bcu,J0039.1+4330,J0039.1+4330,bcu,J0039.1+4330,J0039.1+4330,bcu,J0039.1+4330,2
86,J0040.3+4049,bcu,J0040.3+4050,bll,J0040.3+4049,J0040.3+4050,bll,J0040.3+4049,J0040.3+4050,bll,J0040.3+4049,J0040.3+4050,bll,J0040.3+4049,3
87,J0040.5-2339,bcu,J0040.4-2340,bll,J0040.5-2339,J0040.4-2340,bll,J0040.5-2339,J0040.4-2340,bll,J0040.5-2339,J0040.4-2340,bll,J0040.5-2339,3
88,J0041.9+3639,bll,J0042.0+3640,bll,J0041.9+3639,J0042.0+3640,bll,J0041.9+3639,J0042.0+3640,bll,J0041.9+3639,J0042.0+3640,bll,J0041.9+3639,2
89,J0042.0+2318,fsrq,J0042.2+2319,fsrq,J0042.0+2318,J0042.2+2319,fsrq,J0042.0+2318,J0042.2+2319,fsrq,J0042.0+2318,J0042.2+2319,fsrq,J0042.0+2318,2
90,J0042.5+4117,gal,J0043.2+4114,gal,J0042.5+4117,J0043.2+4114,gal,J0042.5+4117,J0043.2+4114,gal,J0042.5+4117,J0043.2+4114,gal,J0042.5+4117,2
91,J0043.5-0444,bcu,J0043.5-0442,bll,J0043.5-0444,J0043.5-0442,bll,J0043.5-0444,J0043.5-0442,bll,J0043.5-0444,J0043.5-0442,bll,J0043.5-0444,3
92,J0043.7-1117,bcu,J0043.7-1116,bll,J0043.7-1117,J0043.7-1116,bll,J0043.7-1117,J0043.7-1116,bll,J0043.7-1117,J0043.7-1116,bll,J0043.7-1117,3
93,J0043.8+3425,fsrq,J0043.8+3425,fsrq,J0043.8+3425,J0043.8+3425,fsrq,J0043.8+3425,J0043.8+3425,fsrq,J0043.8+3425,J0043.8+3425,fsrq,J0043.8+3425,2
94,J0045.2-3704,bcu,J0045.1-3706,bcu,J0045.2-3704,J0045.1-3706,fsrq,J0045.2-3704,J0045.1-3706,fsrq,J0045.2-3704,J0045.1-3706,fsrq,J0045.2-3704,3
95,J0045.3+2126,bll,J0045.3+2128,bll,J0045.3+2126,J0045.3+2128,bll,J0045.3+2126,J0045.3+2128,bll,J0045.3+2126,J0045.3+2128,bll,J0045.3+2126,2
96,J0045.7+1217,bll,J0045.7+1217,bll,J0045.7+1217,J0045.7+1217,bll,J0045.7+1217,J0045.7+1217,bll,J0045.7+1217,J0045.7+1217,bll,J0045.7+1217,2
97,J0046.7-8419,fsrq,J0044.2-8424,fsrq,J0046.7-8419,J0044.2-8424,fsrq,J0046.7-8419,J0044.2-8424,fsrq,J0046.7-8419,J0044.2-8424,fsrq,J0046.7-8419,2
98,J0047.0+5658,bll,J0047.0+5657,bll,J0047.0+5658,J0047.0+5657,bll,J0047.0+5658,J0047.0+5657,bll,J0047.0+5658,J0047.0+5657,bll,J0047.0+5658,2
99,J0047.5-2516,sbg,J0047.5-2517,sbg,J0047.5-2516,J0047.5-2517,sbg,J0047.5-2516,J0047.5-2517,sbg,J0047.5-2516,J0047.5-2517,sbg,J0047.5-2516,2
100,J0047.9+5447,bcu,J0047.9+5448,bcu,J0047.9+5447,J0047.9+5448,bcu,J0047.9+5447,J0047.9+5448,bcu,J0047.9+5447,J0047.9+5448,bcu,J0047.9+5447,2
101,J0048.0+3950,bll,J0047.9+3947,bll,J0048.0+3950,J0047.9+3947,bll,J0048.0+3950,J0047.9+3947,bll,J0048.0+3950,J0047.9+3947,bll,J0048.0+3950,2
102,J0048.0+2236,fsrq,J0047.9+2233,fsrq,J0048.0+2236,J0047.9+2233,fsrq,J0048.0+2236,J0047.9+2233,fsrq,J0048.0+2236,J0047.9+2233,fsrq,J0048.0+2236,2
105,J0049.4-5401,bcu,J0049.4-5402,bcu,J0049.4-5401,J0049.4-5402,bcu,J0049.4-5401,J0049.4-5402,bll,J0049.4-5401,J0049.4-5402,bll,J0049.4-5401,3
106,J0049.4-4149,bcu,J0049.5-4150,bcu,J0049.4-4149,J0049.5-4150,bcu,J0049.4-4149,J0049.5-4150,bcu,J0049.4-4149,J0049.5-4150,bcu,J0049.4-4149,2
107,J0049.7+0237,bll,J0049.7+0237,bll,J0049.7+0237,J0049.7+0237,bll,J0049.7+0237,J0049.7+0237,bll,J0049.7+0237,J0049.7+0237,bll,J0049.7+0237,2
108,J0049.8-5737,fsrq,J0050.0-5736,fsrq,J0049.8-5737,J0050.0-5736,fsrq,J0049.8-5737,J0050.0-5736,fsrq,J0049.8-5737,J0050.0-5736,fsrq,J0049.8-5737,2
109,J0050.0-4458,bcu,J0049.6-4500,bcu,J0050.0-4458,J0049.6-4500,fsrq,J0050.0-4458,J0049.6-4500,fsrq,J0050.0-4458,J0049.6-4500,fsrq,J0050.0-4458,3
110,J0050.4-0449,fsrq,J0050.4-0452,fsrq,J0050.4-0449,J0050.4-0452,fsrq,J0050.4-0449,J0050.4-0452,fsrq,J0050.4-0449,J0050.4-0452,fsrq,J0050.4-0449,2
111,J0050.6-0929,BLL,J0050.7-0929,BLL,J0050.6-0929,J0050.7-0929,BLL,J0050.6-0929,J0050.7-0929,BLL,J0050.6-0929,J0050.7-0929,BLL,J0050.6-0929,2
112,J0051.0-0649,fsrq,J0051.1-0648,fsrq,J0051.0-0649,J0051.1-0648,fsrq,J0051.0-0649,J0051.1-0648,fsrq,J0051.0-0649,J0051.1-0648,fsrq,J0051.0-0649,2
113,J0051.2-6241,bcu,J0051.2-6242,bll,J0051.2-6241,J0051.2-6242,bll,J0051.2-6241,J0051.2-6242,bll,J0051.2-6241,J0051.2-6242,bll,J0051.2-6241,3
115,J0054.8-2455,bll,J0054.7-2455,bll,J0054.8-2455,J0054.7-2455,bll,J0054.8-2455,J0054.7-2455,bll,J0054.8-2455,J0054.7-2455,bll,J0054.8-2455,2
116,J0055.2-1213,bcu,J0055.1-1219,bcu,J0055.2-1213,J0055.1-1219,bcu,J0055.2-1213,J0055.1-1219,bcu,J0055.2-1213,J0055.1-1219,bcu,J0055.2-1213,2
117,J0056.3-2116,bll,J0056.4-2118,bll,J0056.3-2116,J0056.4-2118,bll,J0056.3-2116,J0056.4-2118,bll,J0056.3-2116,J0056.4-2118,bll,J0056.3-2116,2
118,J0056.3-0935,bll,J0056.3-0935,bll,J0056.3-0935,J0056.3-0935,bll,J0056.3-0935,J0056.3-0935,bll,J0056.3-0935,J0056.3-0935,bll,J0056.3-0935,2
119,J0057.9-0542,fsrq,J0058.0-0539,fsrq,J0057.9-0542,J0058.0-0539,fsrq,J0057.9-0542,J0058.0-0539,fsrq,J0057.9-0542,J0058.0-0539,fsrq,J0057.9-0542,2
120,J0058.0-3233,bll,J0058.0-3233,bll,J0058.0-3233,J0058.0-3233,bll,J0058.0-3233,J0058.0-3233,bll,J0058.0-3233,J0058.0-3233,bll,J0058.0-3233,2
121,J0058.3+3315,fsrq,J0058.4+3315,fsrq,J0058.3+3315,J0058.4+3315,fsrq,J0058.3+3315,J0058.4+3315,fsrq,J0058.3+3315,J0058.4+3315,fsrq,J0058.3+3315,2
124,J0059.2-0152,bll,J0059.3-0152,bll,J0059.2-0152,J0059.3-0152,bll,J0059.2-0152,J0059.3-0152,bll,J0059.2-0152,J0059.3-0152,bll,J0059.2-0152,2
125,J0059.6+0003,fsrq,J0059.2+0006,fsrq,J0059.6+0003,J0059.2+0006,fsrq,J0059.6+0003,J0059.2+0006,fsrq,J0059.6+0003,J0059.2+0006,fsrq,J0059.6+0003,2
126,J0100.2+0745,bll,J0100.3+0745,bll,J0100.2+0745,J0100.3+0745,bll,J0100.2+0745,J0100.3+0745,bll,J0100.2+0745,J0100.3+0745,bll,J0100.2+0745,2
127,J0101.0-6422,PSR,J0101.1-6422,PSR,J0101.0-6422,J0101.1-6422,PSR,J0101.0-6422,J0101.1-6422,MSP,J0101.0-6422,J0101.1-6422,MSP,J0101.0-6422,3
130,J0102.3+4217,fsrq,J0102.4+4214,fsrq,J0102.3+4217,J0102.4+4214,fsrq,J0102.3+4217,J0102.4+4214,fsrq,J0102.3+4217,J0102.4+4214,fsrq,J0102.3+4217,2
131,J0102.8+4840,PSR,J0102.8+4839,PSR,J0102.8+4840,J0102.8+4839,PSR,J0102.8+4840,J0102.8+4839,MSP,J0102.8+4840,J0102.8+4839,MSP,J0102.8+4840,3
132,J0102.8+5825,fsrq,J0102.8+5824,fsrq,J0102.8+5825,J0102.8+5824,fsrq,J0102.8+5825,J0102.8+5824,fsrq,J0102.8+5825,J0102.8+5824,fsrq,J0102.8+5825,2
133,J0103.4+5336,bll,J0103.5+5337,bll,J0103.4+5336,J0103.5+5337,bll,J0103.4+5336,J0103.5+5337,bll,J0103.4+5336,J0103.5+5337,bll,J0103.4+5336,2
134,J0103.7+1323,bcu,J0103.8+1321,bll,J0103.7+1323,J0103.8+1321,bll,J0103.7+1323,J0103.8+1321,bll,J0103.7+1323,J0103.8+1321,bll,J0103.7+1323,3
135,J0105.1-2415,fsrq,J0104.8-2416,fsrq,J0105.1-2415,J0104.8-2416,fsrq,J0105.1-2415,J0104.8-2416,fsrq,J0105.1-2415,J0104.8-2416,fsrq,J0105.1-2415,2
136,J0105.3+3928,bll,J0105.1+3929,bll,J0105.3+3928,J0105.1+3929,bll,J0105.3+3928,J0105.1+3929,bll,J0105.3+3928,J0105.1+3929,bll,J0105.3+3928,2
137,J0106.5+4855,PSR,J0106.4+4855,PSR,J0106.5+4855,J0106.4+4855,PSR,J0106.5+4855,J0106.4+4855,PSR,J0106.5+4855,J0106.4+4855,PSR,J0106.5+4855,2
138,J0107.0-1208,bcu,J0107.3-1210,bcu,J0107.0-1208,J0107.3-1210,bcu,J0107.0-1208,J0107.3-1210,bll,J0107.0-1208,J0107.3-1210,bll,J0107.0-1208,3
139,J0108.5-0035,fsrq,J0108.1-0039,fsrq,J0108.5-0035,J0108.1-0039,fsrq,J0108.5-0035,J0108.1-0039,fsrq,J0108.5-0035,J0108.1-0039,fsrq,J0108.5-0035,2
140,J0108.7+0134,fsrq,J0108.6+0134,fsrq,J0108.7+0134,J0108.6+0134,fsrq,J0108.7+0134,J0108.6+0134,fsrq,J0108.7+0134,J0108.6+0134,fsrq,J0108.7+0134,2
141,J0109.1+1816,bll,J0109.1+1815,bll,J0109.1+1816,J0109.1+1815,bll,J0109.1+1816,J0109.1+1815,bll,J0109.1+1816,J0109.1+1815,bll,J0109.1+1816,2
142,J0109.8+6132,fsrq,J0109.7+6133,fsrq,J0109.8+6132,J0109.7+6133,fsrq,J0109.8+6132,J0109.7+6133,fsrq,J0109.8+6132,J0109.7+6133,fsrq,J0109.8+6132,2
143,J0109.9-4020,bll,J0110.0-4019,bll,J0109.9-4020,J0110.0-4019,bll,J0109.9-4020,J0110.0-4019,bll,J0109.9-4020,J0110.0-4019,bll,J0109.9-4020,2
144,J0110.2+6806,bll,J0110.1+6805,bll,J0110.2+6806,J0110.1+6805,bll,J0110.2+6806,J0110.1+6805,bll,J0110.2+6806,J0110.1+6805,bll,J0110.2+6806,2
145,J0110.9-1254,bll,J0110.7-1254,bll,J0110.9-1254,J0110.7-1254,bll,J0110.9-1254,J0110.7-1254,bll,J0110.9-1254,J0110.7-1254,bll,J0110.9-1254,2
146,J0111.5+0535,bll,J0111.4+0534,bll,J0111.5+0535,J0111.4+0534,bll,J0111.5+0535,J0111.4+0534,bll,J0111.5+0535,J0111.4+0534,bll,J0111.5+0535,2
147,J0112.1+2245,BLL,J0112.1+2245,BLL,J0112.1+2245,J0112.1+2245,BLL,J0112.1+2245,J0112.1+2245,BLL,J0112.1+2245,J0112.1+2245,BLL,J0112.1+2245,2
148,J0112.8+3207,fsrq,J0112.8+3208,fsrq,J0112.8+3207,J0112.8+3208,fsrq,J0112.8+3207,J0112.8+3208,fsrq,J0112.8+3207,J0112.8+3208,fsrq,J0112.8+3207,2
150,J0113.0-3554,fsrq,J0113.1-3553,fsrq,J0113.0-3554,J0113.1-3553,fsrq,J0113.0-3554,J0113.1-3553,fsrq,J0113.0-3554,J0113.1-3553,fsrq,J0113.0-3554,2
151,J0113.4+4948,fsrq,J0113.4+4948,fsrq,J0113.4+4948,J0113.4+4948,fsrq,J0113.4+4948,J0113.4+4948,fsrq,J0113.4+4948,J0113.4+4948,fsrq,J0113.4+4948,2
153,J0114.8+1326,bll,J0114.8+1326,bll,J0114.8+1326,J0114.8+1326,bll,J0114.8+1326,J0114.8+1326,bll,J0114.8+1326,J0114.8+1326,bll,J0114.8+1326,2
154,J0115.7+0356,bll,J0115.6+0356,bll,J0115.7+0356,J0115.6+0356,bll,J0115.7+0356,J0115.6+0356,bll,J0115.7+0356,J0115.6+0356,bll,J0115.7+0356,2
155,J0115.8+2519,bll,J0115.8+2519,bll,J0115.8+2519,J0115.8+2519,bll,J0115.8+2519,J0115.8+2519,bll,J0115.8+2519,J0115.8+2519,bll,J0115.8+2519,2
156,J0116.0-1134,fsrq,J0116.0-1136,fsrq,J0116.0-1134,J0116.0-1136,fsrq,J0116.0-1134,J0116.0-1136,fsrq,J0116.0-1134,J0116.0-1136,fsrq,J0116.0-1134,2
157,J0116.2-2744,bcu,J0116.0-2745,bll,J0116.2-2744,J0116.0-2745,bll,J0116.2-2744,J0116.0-2745,bll,J0116.2-2744,J0116.0-2745,bll,J0116.2-2744,3
158,J0116.3-6153,bll,J0116.2-6153,bll,J0116.3-6153,J0116.2-6153,bll,J0116.3-6153,J0116.2-6153,bll,J0116.3-6153,J0116.2-6153,bll,J0116.3-6153,2
160,J0117.8-2113,fsrq,J0117.8-2109,fsrq,J0117.8-2113,J0117.8-2109,fsrq,J0117.8-2113,J0117.8-2109,fsrq,J0117.8-2113,J0117.8-2109,fsrq,J0117.8-2113,2
161,J0118.8-2142,fsrq,J0118.9-2141,fsrq,J0118.8-2142,J0118.9-2141,fsrq,J0118.8-2142,J0118.9-2141,fsrq,J0118.8-2142,J0118.9-2141,fsrq,J0118.8-2142,2
162,J0118.9-1457,bll,J0119.0-1458,bll,J0118.9-1457,J0119.0-1458,bll,J0118.9-1457,J0119.0-1458,bll,J0118.9-1457,J0119.0-1458,bll,J0118.9-1457,2
163,J0120.4-2700,bll,J0120.4-2701,bll,J0120.4-2700,J0120.4-2701,bll,J0120.4-2700,J0120.4-2701,bll,J0120.4-2700,J0120.4-2701,bll,J0120.4-2700,2
164,J0121.7+5154,bcu,J0121.7+5153,bcu,J0121.7+5154,J0121.7+5153,bcu,J0121.7+5154,J0121.7+5153,bcu,J0121.7+5154,J0121.7+5153,bcu,J0121.7+5154,2
167,J0123.7-2312,bll,J0123.7-2311,bll,J0123.7-2312,J0123.7-2311,bll,J0123.7-2312,J0123.7-2311,bll,J0123.7-2312,J0123.7-2311,bll,J0123.7-2312,2
168,J0125.2-0627,bll,J0124.8-0625,bll,J0125.2-0627,J0124.8-0625,bll,J0125.2-0627,J0124.8-0625,bll,J0125.2-0627,J0124.8-0625,bll,J0125.2-0627,2
169,J0125.4-2548,bll,J0125.3-2548,bll,J0125.4-2548,J0125.3-2548,bll,J0125.4-2548,J0125.3-2548,bll,J0125.4-2548,J0125.3-2548,bll,J0125.4-2548,2
170,J0126.1-2227,fsrq,J0126.0-2221,fsrq,J0126.1-2227,J0126.0-2221,fsrq,J0126.1-2227,J0126.0-2221,fsrq,J0126.1-2227,J0126.0-2221,fsrq,J0126.1-2227,2
171,J0127.1-0818,bll,J0127.2-0819,bll,J0127.1-0818,J0127.2-0819,bll,J0127.1-0818,J0127.2-0819,bll,J0127.1-0818,J0127.2-0819,bll,J0127.1-0818,2
