,3FGL,4FGLDR1,4FGLDR2,4FGLDR3,4FGLDR4,status
91,J0043.5-0444,J0043.5-0442,J0043.5-0442,J0043.5-0442,J0043.5-0442,3
92,J0043.7-1117,J0043.7-1116,J0043.7-1116,J0043.7-1116,J0043.7-1116,3
93,J0043.8+3425,J0043.8+3425,J0043.8+3425,J0043.8+3425,J0043.8+3425,2
94,J0045.2-3704,J0045.1-3706,J0045.1-3706,J0045.1-3706,J0045.1-3706,3
95,J0045.3+2126,J0045.3+2128,J0045.3+2128,J0045.3+2128,J0045.3+2128,2
96,J0045.7+1217,J0045.7+1217,J0045.7+1217,J0045.7+1217,J0045.7+1217,2
97,J0046.7-8419,J0044.2-8424,J0044.2-8424,J0044.2-8424,J0044.2-8424,2
98,J0047.0+5658,J0047.0+5657,J0047.0+5657,J0047.0+5657,J0047.0+5657,2
99,J0047.5-2516,J0047.5-2517,J0047.5-2517,J0047.5-2517,J0047.5-2517,2
100,J0047.9+5447,J0047.9+5448,J0047.9+5448,J0047.9+5448,J0047.9+5448,2
101,J0048.0+3950,J0047.9+3947,J0047.9+3947,J0047.9+3947,J0047.9+3947,2
102,J0048.0+2236,J0047.9+2233,J0047.9+2233,J0047.9+2233,J0047.9+2233,2
105,J0049.4-5401,J0049.4-5402,J0049.4-5402,J0049.4-5402,J0049.4-5402,3
106,J0049.4-4149,J0049.5-4150,J0049.5-4150,J0049.5-4150,J0049.5-4150,2
107,J0049.7+0237,J0049.7+0237,J0049.7+0237,J0049.7+0237,J0049.7+0237,2
108,J0049.8-5737,J0050.0-5736,J0050.0-5736,J0050.0-5736,J0050.0-5736,2
109,J0050.0-4458,J0049.6-4500,J0049.6-4500,J0049.6-4500,J0049.6-4500,3
110,J0050.4-0449,J0050.4-0452,J0050.4-0452,J0050.4-0452,J0050.4-0452,2
111,J0050.6-0929,J0050.7-0929,J0050.7-0929,J0050.7-0929,J0050.7-0929,2
112,J0051.0-0649,J0051.1-0648,J0051.1-0648,J0051.1-0648,J0051.1-0648,2
113,J0051.2-6241,J0051.2-6242,J0051.2-6242,J0051.2-6242,J0051.2-6242,3
115,J0054.8-2455,J0054.7-2455,J0054.7-2455,J0054.7-2455,J0054.7-2455,2
116,J0055.2-1213,J0055.1-1219,J0055.1-1219,J0055.1-1219,J0055.1-1219,2
117,J0056.3-2116,J0056.4-2118,J0056.4-2118,J0056.4-2118,J0056.4-2118,2
118,J0056.3-0935,J0056.3-0935,J0056.3-0935,J0056.3-0935,J0056.3-0935,2
119,J0057.9-0542,J0058.0-0539,J0058.0-0539,J0058.0-0539,J0058.0-0539,2
120,J0058.0-3233,J0058.0-3233,J0058.0-3233,J0058.0-3233,J0058.0-3233,2
121,J0058.3+3315,J0058.4+3315,J0058.4+3315,J0058.4+3315,J0058.4+3315,2
124,J0059.2-0152,J0059.3-0152,J0059.3-0152,J0059.3-0152,J0059.3-0152,2
125,J0059.6+0003,J0059.2+0006,J0059.2+0006,J0059.2+0006,J0059.2+0006,2
126,J0100.2+0745,J0100.3+0745,J0100.3+0745,J0100.3+0745,J0100.3+0745,2
127,J0101.0-6422,J0101.1-6422,J0101.1-6422,J0101.1-6422,J0101.1-6422,3
130,J0102.3+4217,J0102.4+4214,J0102.4+4214,J0102.4+4214,J0102.4+4214,2
131,J0102.8+4840,J0102.8+4839,J0102.8+4839,J0102.8+4839,J0102.8+4839,3
132,J0102.8+5825,J0102.8+5824,J0102.8+5824,J0102.8+5824,J0102.8+5824,2
133,J0103.4+5336,J0103.5+5337,J0103.5+5337,J0103.5+5337,J0103.5+5337,2
134,J0103.7+1323,J0103.8+1321,J0103.8+1321,J0103.8+1321,J0103.8+1321,3
135,J0105.1-2415,J0104.8-2416,J0104.8-2416,J0104.8-2416,J0104.8-2416,2
136,J0105.3+3928,J0105.1+3929,J0105.1+3929,J0105.1+3929,J0105.1+3929,2
137,J0106.5+4855,J0106.4+4855,J0106.4+4855,J0106.4+4855,J0106.4+4855,2
138,J0107.0-1208,J0107.3-1210,J0107.3-1210,J0107.3-1210,J0107.3-1210,3
139,J0108.5-0035,J0108.1-0039,J0108.1-0039,J0108.1-0039,J0108.1-0039,2
140,J0108.7+0134,J0108.6+0134,J0108.6+0134,J0108.6+0134,J0108.6+0134,2
141,J0109.1+1816,J0109.1+1815,J0109.1+1815,J0109.1+1815,J0109.1+1815,2
142,J0109.8+6132,J0109.7+6133,J0109.7+6133,J0109.7+6133,J0109.7+6133,2
143,J0109.9-4020,J0110.0-4019,J0110.0-4019,J0110.0-4019,J0110.0-4019,2
144,J0110.2+6806,J0110.1+6805,J0110.1+6805,J0110.1+6805,J0110.1+6805,2
145,J0110.9-1254,J0110.7-1254,J0110.7-1254,J0110.7-1254,J0110.7-1254,2
146,J0111.5+0535,J0111.4+0534,J0111.4+0534,J0111.4+0534,J0111.4+0534,2
147,J0112.1+2245,J0112.1+2245,J0112.1+2245,J0112.1+2245,J0112.1+2245,2
148,J0112.8+3207,J0112.8+3208,J0112.8+3208,J0112.8+3208,J0112.8+3208,2
150,J0113.0-3554,J0113.1-3553,J0113.1-3553,J0113.1-3553,J0113.1-3553,2
151,J0113.4+4948,J0113.4+4948,J0113.4+4948,J0113.4+4948,J0113.4+4948,2
153,J0114.8+1326,J0114.8+1326,J0114.8+1326,J0114.8+1326,J0114.8+1326,2
154,J0115.7+0356,J0115.6+0356,J0115.6+0356,J0115.6+0356,J0115.6+0356,2
155,J0115.8+2519,J0115.8+2519,J0115.8+2519,J0115.8+2519,J0115.8+2519,2
156,J0116.0-1134,J0116.0-1136,J0116.0-1136,J0116.0-1136,J0116.0-1136,2
157,J0116.2-2744,J0116.0-2745,J0116.0-2745,J0116.0-2745,J0116.0-2745,3
158,J0116.3-6153,J0116.2-6153,J0116.2-6153,J0116.2-6153,J0116.2-6153,2
160,J0117.8-2113,J0117.8-2109,J0117.8-2109,J0117.8-2109,J0117.8-2109,2
161,J0118.8-2142,J0118.9-2141,J0118.9-2141,J0118.9-2141,J0118.9-2141,2
162,J0118.9-1457,J0119.0-1458,J0119.0-1458,J0119.0-1458,J0119.0-1458,2
163,J0120.4-2700,J0120.4-2701,J0120.4-2701,J0120.4-2701,J0120.4-2701,2
164,J0121.7+5154,J0121.7+5153,J0121.7+5153,J0121.7+5153,J0121.7+5153,2
167,J0123.7-2312,J0123.7-2311,J0123.7-2311,J0123.7-2311,J0123.7-2311,2
168,J0125.2-0627,J0124.8-0625,J0124.8-0625,J0124.8-0625,J0124.8-0625,2
169,J0125.4-2548,J0125.3-2548,J0125.3-2548,J0125.3-2548,J0125.3-2548,2
170,J0126.1-2227,J0126.0-2221,J0126.0-2221,J0126.0-2221,J0126.0-2221,2
171,J0127.1-0818,J0127.2-0819,J0127.2-0819,J0127.2-0819,J0127.2-0819,2
172,J0127.2+0325,J0127.2+0324,J0127.2+0324,J0127.2+0324,J0127.2+0324,3
178,J0128.5+4430,J0128.5+4440,J0128.5+4440,J0128.5+4440,J0128.5+4440,2
179,J0130.8+1441,J0129.8+1440,J0129.8+1440,J0129.8+1440,J0129.8+1440,2
180,J0131.2+6120,J0131.1+6120,J0131.1+6120,J0131.1+6120,J0131.1+6120,2
181,J0131.3+5548,J0131.2+5547,J0131.2+5547,J0131.2+5547,J0131.2+5547,2
183,J0132.5-0802,J0132.7-0804,J0132.7-0804,J0132.7-0804,J0132.7-0804,3
184,J0132.6-1655,J0132.7-1654,J0132.7-1654,J0132.7-1654,J0132.7-1654,2
185,J0133.0-4413,J0132.8-4413,J0132.8-4413,J0132.8-4413,J0132.8-4413,2
187,J0133.2-5159,J0133.1-5201,J0133.1-5201,J0133.1-5201,J0133.1-5201,3
189,J0133.3+4324,J0132.8+4324,J0132.8+4324,J0132.8+4324,J0132.8+4324,2
190,J0134.3-3842,J0134.3-3842,J0134.3-3842,J0134.3-3842,J0134.3-3842,2
191,J0134.5+2638,J0134.5+2637,J0134.5+2637,J0134.5+2637,J0134.5+2637,3
193,J0136.5+3905,J0136.5+3906,J0136.5+3906,J0136.5+3906,J0136.5+3906,2
194,J0137.0+4752,J0137.0+4751,J0137.0+4751,J0137.0+4751,J0137.0+4751,2
195,J0137.6-2430,J0137.6-2430,J0137.6-2430,J0137.6-2430,J0137.6-2430,2
196,J0137.8+5813,J0137.9+5814,J0137.9+5814,J0137.9+5814,J0137.9+5814,3
198,J0139.9+8735,J0140.6+8736,J0140.6+8736,J0140.6+8736,J0140.6+8736,2
199,J0141.4-0929,J0141.4-0928,J0141.4-0928,J0141.4-0928,J0141.4-0928,2
200,J0143.7-5845,J0143.7-5846,J0143.7-5846,J0143.7-5846,J0143.7-5846,2
201,J0144.6+2705,J0144.6+2705,J0144.6+2705,J0144.6+2705,J0144.6+2705,2
202,J0145.1-2732,J0145.0-2732,J0145.0-2732,J0145.0-2732,J0145.0-2732,2
203,J0145.6+8600,J0151.3+8601,J0151.3+8601,J0151.3+8601,J0151.3+8601,3
204,J0146.4-6746,J0146.0-6746,J0146.0-6746,J0146.0-6746,J0146.0-6746,3
205,J0147.0-5204,J0146.9-5202,J0146.9-5202,J0146.9-5202,J0146.9-5202,3
206,J0148.3+5200,J0148.2+5201,J0148.2+5201,J0148.2+5201,J0148.2+5201,3
207,J0148.6+0128,J0148.6+0127,J0148.6+0127,J0148.6+0127,J0148.6+0127,2
209,J0150.5-5447,J0150.6-5448,J0150.6-5448,J0150.6-5448,J0150.6-5448,2
210,J0151.0-3609,J0151.4-3607,J0151.4-3607,J0151.4-3607,J0151.4-3607,2
211,J0151.0+0537,J0151.0+0539,J0151.0+0539,J0151.0+0539,J0151.0+0539,2
212,J0151.6+2205,J0152.2+2206,J0152.2+2206,J0152.2+2206,J0152.2+2206,2
213,J0152.2+3707,J0152.2+3714,J0152.2+3714,J0152.2+3714,J0152.2+3714,2
214,J0152.6+0148,J0152.6+0147,J0152.6+0147,J0152.6+0147,J0152.6+0147,2
215,J0152.8+7517,J0153.0+7517,J0153.0+7517,J0153.0+7517,J0153.0+7517,2
216,J0153.4+7114,J0153.4+7114,J0153.4+7114,J0153.4+7114,J0153.4+7114,3
217,J0154.0+0824,J0153.9+0823,J0153.9+0823,J0153.9+0823,J0153.9+0823,2
219,J0154.9+4433,J0155.0+4433,J0155.0+4433,J0155.0+4433,J0155.0+4433,2
220,J0156.3+3913,J0156.5+3914,J0156.5+3914,J0156.5+3914,J0156.5+3914,3
222,J0156.9-4742,J0156.8-4744,J0156.8-4744,J0156.8-4744,J0156.8-4744,3
223,J0157.0-5301,J0156.9-5301,J0156.9-5301,J0156.9-5301,J0156.9-5301,2
224,J0157.9-4615,J0157.7-4614,J0157.7-4614,J0157.7-4614,J0157.7-4614,2
225,J0158.6-3931,J0158.5-3932,J0158.5-3932,J0158.5-3932,J0158.5-3932,2
227,J0159.4+1046,J0159.5+1046,J0159.5+1046,J0159.5+1046,J0159.5+1046,2
228,J0159.8-2741,J0159.7-2740,J0159.7-2740,J0159.7-2740,J0159.7-2740,2
230,J0200.9-6635,J0200.6-6637,J0200.6-6637,J0200.6-6637,J0200.6-6637,3
231,J0202.3+0851,J0202.4+0849,J0202.4+0849,J0202.4+0849,J0202.4+0849,3
232,J0202.5+4206,J0202.7+4204,J0202.7+4204,J0202.7+4204,J0202.7+4204,2
233,J0203.1-0227,J0202.9-0225,J0202.9-0225,J0202.9-0225,J0202.9-0225,2
235,J0203.6+3043,J0203.7+3042,J0203.7+3042,J0203.7+3042,J0203.7+3042,2
236,J0204.0+7234,J0203.6+7233,J0203.6+7233,J0203.6+7233,J0203.6+7233,2
237,J0204.2+2420,J0204.3+2417,J0204.3+2417,J0204.3+2417,J0204.3+2417,3
238,J0204.8+3212,J0205.2+3212,J0205.2+3212,J0205.2+3212,J0205.2+3212,2
239,J0205.0+1510,J0204.8+1513,J0204.8+1513,J0204.8+1513,J0204.8+1513,2
240,J0205.2-1700,J0205.0-1700,J0205.0-1700,J0205.0-1700,J0205.0-1700,2
241,J0205.5+6448,J0205.7+6449,J0205.7+6449,J0205.7+6449,J0205.6+6449e,3
242,J0205.5+6448,J0205.7+6449,J0205.7+6449,J0205.7+6449,J0205.7+6449,2
243,J0206.4-1150,J0206.4-1151,J0206.4-1151,J0206.4-1151,J0206.4-1151,2
244,J0207.9-3846,J0207.4-3855,J0207.4-3855,J0207.4-3855,J0207.4-3855,3
245,J0208.0-6838,J0208.3-6838,J0208.3-6838,J0208.3-6838,J0208.3-6838,2
246,J0208.6+3522,J0208.6+3523,J0208.6+3523,J0208.6+3523,J0208.6+3523,2
247,J0209.4-5229,J0209.3-5228,J0209.3-5228,J0209.3-5228,J0209.3-5228,2
248,J0209.5+4449,J0209.3+4449,J0209.3+4449,J0209.3+4449,J0209.3+4449,2
249,J0210.7-5101,J0210.7-5101,J0210.7-5101,J0210.7-5101,J0210.7-5101,3
251,J0211.2+1051,J0211.2+1051,J0211.2+1051,J0211.2+1051,J0211.2+1051,2
252,J0211.2-0649,J0211.1-0646,J0211.1-0646,J0211.1-0646,J0211.1-0646,3
255,J0212.8-3504,J0212.4-3502,J0212.4-3502,J0212.4-3502,J0212.4-3502,2
256,J0213.0+2245,J0212.9+2244,J0212.9+2244,J0212.9+2244,J0212.9+2244,2
257,J0213.1-2720,J0212.8-2721,J0212.8-2721,J0212.8-2721,J0212.8-2721,2
258,J0214.4+5143,J0214.3+5145,J0214.3+5145,J0214.3+5145,J0214.3+5145,2
259,J0214.7-5823,J0214.4-5822,J0214.4-5822,J0214.4-5822,J0214.4-5822,2
263,J0216.6-1019,J0216.6-1015,J0216.6-1015,J0216.6-1015,J0216.6-1015,2
264,J0217.0-6635,J0216.8-6635,J0216.8-6635,J0216.8-6635,J0216.8-6635,2
265,J0217.1-0833,J0217.0-0821,J0217.0-0821,J0217.0-0821,J0217.0-0821,2
266,J0217.2+0837,J0217.2+0837,J0217.2+0837,J0217.2+0837,J0217.2+0837,2
268,J0217.5+7349,J0217.4+7352,J0217.4+7352,J0217.4+7352,J0217.4+7352,2
269,J0217.8+0143,J0217.8+0144,J0217.8+0144,J0217.8+0144,J0217.8+0144,2
270,J0218.1+4233,J0218.1+4232,J0218.1+4232,J0218.1+4232,J0218.1+4232,3
271,J0218.9+3642,J0218.9+3643,J0218.9+3643,J0218.9+3643,J0218.9+3643,2
272,J0219.0+2440,J0219.0+2443,J0219.0+2443,J0219.0+2443,J0219.0+2443,3
274,J0221.1+3556,J0221.1+3556,J0221.1+3556,J0221.1+3556,J0221.1+3556,2
278,J0222.1-1616,J0222.0-1616,J0222.0-1616,J0222.0-1616,J0222.0-1616,2
279,J0222.6+4301,J0222.6+4302,J0222.6+4302,J0222.6+4302,J0222.6+4302,2
280,J0222.9-1117,J0223.1-1117,J0223.1-1117,J0223.1-1117,J0223.1-1117,2
281,J0223.3+6820,J0223.0+6821,J0223.0+6821,J0223.0+6821,J0223.0+6821,3
286,J0224.1-7941,J0224.0-7941,J0224.0-7941,J0224.0-7941,J0224.0-7941,3
289,J0225.2-2602,J0225.1-2604,J0225.1-2604,J0225.1-2604,J0225.1-2604,2
291,J0226.3+0941,J0226.5+0938,J0226.5+0938,J0226.5+0938,J0226.5+0938,2
292,J0226.5-4442,J0226.5-4441,J0226.5-4441,J0226.5-4441,J0226.5-4441,3
294,J0227.2+0201,J0227.3+0201,J0227.3+0201,J0227.3+0201,J0227.3+0201,2
295,J0228.0+2248,J0227.8+2246,J0227.8+2246,J0227.8+2246,J0227.8+2246,2
296,J0228.3-5545,J0228.3-5547,J0228.3-5547,J0228.3-5547,J0228.3-5547,2
299,J0228.7-3106,J0228.2-3102,J0228.2-3102,J0228.2-3102,J0228.2-3102,2
300,J0229.3-3643,J0229.5-3644,J0229.5-3644,J0229.5-3644,J0229.5-3644,2
301,J0230.6-5757,J0231.2-5754,J0231.2-5754,J0231.2-5754,J0231.2-5754,2
302,J0230.8+4032,J0230.8+4032,J0230.8+4032,J0230.8+4032,J0230.8+4032,2
305,J0232.8+2016,J0232.8+2018,J0232.8+2018,J0232.8+2018,J0232.8+2018,2
306,J0232.9+2606,J0232.9+2608,J0232.9+2608,J0232.9+2608,J0232.9+2608,3
310,J0236.7-6136,J0236.8-6136,J0236.8-6136,J0236.8-6136,J0236.8-6136,2
311,J0237.5-3603,J0237.6-3602,J0237.6-3602,J0237.6-3602,J0237.6-3602,2
312,J0237.9+2848,J0237.8+2848,J0237.8+2848,J0237.8+2848,J0237.8+2848,2
314,J0238.3-3904,J0238.1-3905,J0238.1-3905,J0238.1-3905,J0238.1-3905,2
315,J0238.4-3117,J0238.4-3116,J0238.4-3116,J0238.4-3116,J0238.4-3116,2
316,J0238.6+1636,J0238.6+1637,J0238.6+1637,J0238.6+1637,J0238.6+1637,2
320,J0240.5+6113,J0240.5+6113,J0240.5+6113,J0240.5+6113,J0240.5+6113,2
321,J0241.3+6542,J0241.3+6543,J0241.3+6543,J0241.3+6543,J0241.3+6543,3
323,J0242.3+1059,J0242.3+1102,J0242.3+1102,J0242.3+1102,J0242.3+1102,2
324,J0242.7-0001,J0242.6-0000,J0242.6-0000,J0242.6-0000,J0242.6-0000,2
325,J0243.5+7119,J0243.4+7119,J0243.4+7119,J0243.4+7119,J0243.4+7119,2
326,J0244.4-8224,J0250.2-8224,J0250.2-8224,J0250.2-8224,J0250.2-8224,2
328,J0244.8-5818,J0244.6-5819,J0244.6-5819,J0244.6-5819,J0244.6-5819,2
329,J0245.4+2410,J0245.4+2408,J0245.4+2408,J0245.4+2408,J0245.4+2408,2
330,J0245.9-4651,J0245.9-4650,J0245.9-4650,J0245.9-4650,J0245.9-4650,2
332,J0248.5+4232,J0248.6+4230,J0248.6+4230,J0248.6+4230,J0248.6+4230,3
333,J0248.5+6022,J0248.4+6021,J0248.4+6021,J0248.4+6021,J0248.4+6021,2
334,J0249.1+8438,J0250.6+8435,J0250.6+8435,J0250.6+8435,J0250.6+8435,2
335,J0250.6+1713,J0250.6+1712,J0250.6+1712,J0250.6+1712,J0250.6+1712,3
336,J0250.6+5630,J0250.7+5630,J0250.7+5630,J0250.7+5630,J0250.7+5630,2
337,J0251.1+2603,J0251.0+2605,J0251.0+2605,J0251.0+2605,J0251.0+2605,3
339,J0251.5-5959,J0251.5-5958,J0251.5-5958,J0251.5-5958,J0251.5-5958,2
340,J0252.3+3830,J0252.9+3834,J0252.9+3834,J0252.9+3834,J0252.9+3834,2
341,J0252.8-2218,J0252.8-2219,J0252.8-2219,J0252.8-2219,J0252.8-2219,2
342,J0253.0-0125,J0253.2-0124,J0253.2-0124,J0253.2-0124,J0253.2-0124,2
343,J0253.1-5438,J0253.2-5441,J0253.2-5441,J0253.2-5441,J0253.2-5441,2
344,J0253.5+3216,J0253.5+3216,J0253.5+3216,J0253.5+3216,J0253.5+3216,3
345,J0253.8+5104,J0253.9+5103,J0253.9+5103,J0253.9+5103,J0253.9+5103,2
347,J0255.8+0532,J0255.8+0534,J0255.8+0534,J0255.8+0534,J0255.8+0534,3
348,J0256.3+0335,J0256.3+0334,J0256.3+0334,J0256.3+0334,J0256.3+0334,3
349,J0257.8-1216,J0257.9-1215,J0257.9-1215,J0257.9-1215,J0257.9-1215,2
350,J0258.0+2030,J0258.1+2030,J0258.1+2030,J0258.1+2030,J0258.1+2030,2
353,J0259.5+0746,J0259.4+0746,J0259.4+0746,J0259.4+0746,J0259.4+0746,2
354,J0301.4-1652,J0301.0-1652,J0301.0-1652,J0301.0-1652,J0301.0-1652,3
355,J0301.8-7157,J0301.6-7155,J0301.6-7155,J0301.6-7155,J0301.5-7156,3
356,J0301.8-2721,J0301.9-2731,J0301.9-2731,J0301.9-2731,J0301.9-2731,2
358,J0302.5-7915,J0303.3-7913,J0303.3-7913,J0303.3-7913,J0303.3-7913,2
359,J0303.0+3150,J0303.2+3149,J0303.2+3149,J0303.2+3149,J0303.2+3149,2
360,J0303.4-2407,J0303.4-2407,J0303.4-2407,J0303.4-2407,J0303.4-2407,2
361,J0303.6+4716,J0303.6+4716,J0303.6+4716,J0303.6+4716,J0303.6+4716,2
362,J0303.7-6211,J0303.6-6211,J0303.6-6211,J0303.6-6211,J0303.6-6211,2
363,J0304.3-2836,J0304.4-2833,J0304.4-2833,J0304.4-2833,J0304.4-2833,2
364,J0304.9+6817,J0304.5+6821,J0304.5+6821,J0304.5+6821,J0304.5+6821,2
365,J0305.2-1607,J0305.1-1608,J0305.1-1608,J0305.1-1608,J0305.1-1608,3
367,J0308.0+7442,J0307.8+7443,J0307.8+7443,J0307.8+7443,J0307.8+7443,3
369,J0308.6+0408,J0308.4+0407,J0308.4+0407,J0308.4+0407,J0308.4+0407,2
370,J0309.0+1029,J0309.0+1029,J0309.0+1029,J0309.0+1029,J0309.0+1029,2
371,J0309.5-0749,J0309.7-0745,J0309.7-0745,J0309.7-0745,J0309.7-0745,2
372,J0309.9-6057,J0309.9-6058,J0309.9-6058,J0309.9-6058,J0309.9-6058,2
373,J0310.4-5015,J0310.6-5017,J0310.6-5017,J0310.6-5017,J0310.6-5017,3
374,J0310.8+3814,J0310.9+3815,J0310.9+3815,J0310.9+3815,J0310.9+3815,2
378,J0312.7+0133,J0312.8+0134,J0312.8+0134,J0312.8+0134,J0312.8+0134,2
379,J0312.7+3613,J0312.9+3614,J0312.9+3614,J0312.9+3614,J0312.9+3614,2
380,J0314.3-5103,J0314.3-5103,J0314.3-5103,J0314.3-5103,J0314.3-5103,2
381,J0315.5-1026,J0315.9-1033,J0315.9-1033,J0315.9-1033,J0315.9-1033,2
382,J0316.1+0904,J0316.2+0905,J0316.2+0905,J0316.2+0905,J0316.2+0905,2
383,J0316.1-2611,J0316.2-2608,J0316.2-2608,J0316.2-2608,J0316.2-2608,2
