,4fgldr2,4fgldr2_features,4fgldr2_labels,3fgl,3fgl-cls1,4fgldr1,4fgldr1-cls1,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1
22,J0017.5-0514,"[2.562999963760376, 2.5941524505615234, 2.3311662673950195, 230.1560516357422, -29.848792393409614, -29.61261120933736, -27.857422728556234, -29.613930662437884, -23.613858234900942, 0.1051255464553833, 0.9217864274978638, 3.1402747631073, 23.468843460083008, 0.255735345901541, -0.6418642385918326, -0.755574118536901, -0.7951862805459721, -0.5452100064000911, -0.9999995565226399]",[1],J0017.6-0512,FSRQ,J0017.5-0514,FSRQ,FSRQ,J0017.5-0514,FSRQ,J0017.5-0514,FSRQ
23,J0018.4+2946,"[1.6984659433364868, 1.5638436079025269, 1.353289008140564, 4.771218299865723, -34.257586920148135, -33.89069698963242, -28.324126451155966, -34.013155854087366, -24.03070320192932, 0.10504265874624252, 0.0, 1.780631184577942, 13.572393417358398, 0.9834841299421473, -0.7276278120834453, -0.16339687356674634, -0.2550024056085475, -0.5445473689129277, 0.06417357539807797]",[1],J0018.4+2947,bll,J0018.4+2946,bll,bll,J0018.4+2946,bll,J0018.4+2946,bll
24,J0019.2-5640,"[2.2048230171203613, 2.171724557876587, 2.0158753395080566, 91.01695251464844, -31.76999767229975, -31.572568425149047, -28.70061318510665, -31.600046312282373, -24.172788436330926, 0.03940746560692787, 1.1238974332809448, 0.8072444200515747, 13.454424858093262, -0.1414746707585114, -0.3071059454510927, -0.6831814151399594, -0.44240118872868883, -0.7245673548828441, -0.9912672426291115]",[1],J0019.1-5645,bcu,J0019.2-5640,bcu,bcu,J0019.2-5640,bcu,J0019.2-5640,bcu
25,J0019.3-8152,"[2.112436294555664, 2.0754687786102295, 1.9532616138458252, 19.439966201782227, -32.0011360537183, -31.780825555750514, -28.28879470922303, -31.86402580311796, -23.78098769352808, 0.041055746376514435, 0.25065159797668457, 1.1407556533813477, 19.484689712524414, -0.5821506804846214, -0.564226742276652, -0.5465431339589953, -0.51134910985197, -0.5262577948011733, -0.7792029810819211]",[1],J0018.9-8152,bll,J0019.3-8152,bll,bll,J0019.3-8152,bll,J0019.3-8152,bll
26,J0019.6+2022,"[2.1648294925689697, 2.1133480072021484, 1.8663076162338257, 15.973142623901367, -31.893245420745753, -31.55347741039025, -28.487794966782364, -31.54791668917419, -23.978302118726848, 0.1185886338353157, 0.3729702830314636, 1.790919542312622, 11.732686042785645, 0.9996885729805509, -0.04197451570149934, -0.5912464037905657, -0.6203103028816176, -0.7835602463925896, -0.3259622367906115]",[1],J0019.4+2021,bll,J0019.6+2022,bll,bll,J0019.6+2022,bll,J0019.6+2022,bll
27,J0021.5-2552,"[2.12144136428833, 2.0815937519073486, 1.9898751974105835, 29.73120880126953, -31.2452147913172, -31.013561892261425, -28.343437321778644, -31.111391791199324, -23.797916243705252, 0.045913513749837875, 0.31696346402168274, 1.4465129375457764, 24.498342514038086, -0.4750832642805735, -0.4293139543242819, -0.5357655248277216, -0.5132679581086641, -0.7574897140297526, -0.3244878305648684]",[1],J0021.6-2553,bll,J0021.5-2552,bll,bll,J0021.5-2552,bll,J0021.5-2552,bll
28,J0021.9-5140,"[2.065307855606079, 2.0532596111297607, 1.975903868675232, 30.68359375, -31.82495169518275, -31.648349918908565, -28.413629779976613, -31.734819456849383, -23.910949722036904, 0.009565411135554314, 0.30867281556129456, 0.2732659578323364, 24.845306396484375, -0.17543391134798292, -0.6506219424073212, -0.4746894513558031, -0.5243566344208089, -0.48250509219661136, -0.5607448588221781]",[1],J0022.1-5141,bll,J0021.9-5140,bll,bll,J0021.9-5140,bll,J0021.9-5140,bll
29,J0022.1-1854,"[1.9422410726547241, 1.767860770225525, 1.6394424438476562, 15.917248725891113, -31.427545466637376, -31.17852050174771, -28.003520935488066, -31.27256571643801, -23.548150278589606, 0.10515857487916946, 0.1465073525905609, 3.0920207500457764, 27.49284553527832, 0.9676717531828556, -0.46420450036372185, -0.34427064746478314, -0.3797428598014458, -0.7357625564691362, -0.28785000431270197]",[1],J0022.1-1855,bll,J0022.1-1854,bll,bll,J0022.1-1854,bll,J0022.1-1854,bll
30,J0022.5+0608,"[2.148970365524292, 2.070549726486206, 2.004216194152832, 58.482330322265625, -29.79084050714791, -29.635571752884168, -27.63293928577629, -29.71702830426073, -23.17358024629502, 0.051376163959503174, 0.2546512484550476, 2.884874105453491, 48.80265808105469, -0.1506185216052677, -0.46436236483839727, -0.6004709997681561, -0.5371531443406453, -0.612077449423214, -0.8138016077731748]",[1],J0022.5+0608,bll,J0022.5+0608,bll,bll,J0022.5+0608,bll,J0022.5+0608,bll
31,J0023.4+0920,"[2.266627550125122, 1.8855739831924438, 0.8434017896652222, 7.449699878692627, -30.264899449780597, -29.74295405533031, -28.189132165044875, -29.789532707767513, -23.2718739897328, 0.4628027081489563, 0.0, 7.684471607208252, 25.47446632385254, -0.7040220401565743, -0.10614736477259326, -0.46166218570367046, -0.7672658538058662, -0.855787363801427, -0.9994805513266974]",[0],J0023.4+0923,PSR,J0023.4+0920,PSR,PSR,J0023.4+0920,MSP,J0023.4+0920,MSP
