,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl,4fgldr3_features,4fgldr3_labels,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3
55,J1104.9-6036,15.4,166.248,−60.6091,1.0,0.85,YNG/YNG,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,"[2.497103214263916, 2.388188362121582, 2.2907755374908447, 6.898196697235107, -30.561998619413703, -30.129536838496033, -26.3697933148512, -30.15328793921868, -22.271686233680374, 0.4123631715774536, 0.0, 9.801854133605957, 27.44247817993164, 0.02026214583364178, -0.3760570264763843, -0.5210596346408544, -0.6870067606923957, -0.9178880267096857, -0.9999967428237443, 0.4830563626579507]",[0],PSR,PSR,PSR,PSR
56,J0545.6+6019,15.39,86.415,60.3219,0.56,0.37,MSP/MSP,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,,,NA,NA,NA,NA
57,J1742.6-3321,15.31,265.665,−33.3562,1.0,0.83,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
58,J1857.9+0210,15.19,284.49,2.1704,1.0,0.85,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
59,J1740.5-2843,15.13,265.125,−28.7170,1.0,0.76,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
60,J1748.3-2815c,15.11,267.092,−28.2589,0.98,0.78,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
61,J1754.0-2930,15.03,268.5,−29.5059,0.99,0.65,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
62,J0238.0+5237,14.99,39.505,52.6256,0.97,0.65,MSP/MSP,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,,,NA,NA,NA,NA
63,J1839.3-0552,14.92,279.848,−5.8816,1.0,0.88,YNG/YNG,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,,,NA,NA,NA,NA
64,J2117.6+3725,14.5,319.421,37.4256,0.98,0.3,MSP/MSP,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,,,NA,NA,NA,NA
65,J0419.1+6636,14.47,64.778,66.6049,0.26,0.33,MSP/MSP,J0418.9+6636,,J0419.1+6636,J0418.9+6636,,J0419.1+6636,J0418.9+6636,MSP,J0419.1+6636,J0418.9+6636,MSP,J0419.1+6636,"[2.2372241020202637, 2.002268075942993, 1.9289973974227905, 8.747476577758789, -31.22273620166664, -30.788589263403132, -28.016070968663886, -30.847196286306822, -23.353923774180586, 0.3256796598434448, 0.0, 9.074563026428223, 32.804718017578125, 0.9996843437831568, -0.2623015565599591, -0.42806554045859246, -0.5646373724101795, -0.9110281632133757, -0.8467891261547043, -0.9996653137883756]",[0],PSR,PSR,PSR,PSR
66,J2212.5+0703,14.28,333.147,7.0598,0.69,0.4,MSP/MSP,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,,,NA,NA,NA,NA
67,J1447.3-5800,14.23,221.831,−58.0049,1.0,0.61,YNG/YNG,J1447.4-5757,,J1447.3-5800,J1447.4-5757,,J1447.3-5800,J1447.4-5757,PSR,J1447.3-5800,J1447.4-5757,PSR,J1447.3-5800,"[2.6870133876800537, 2.6725666522979736, 2.5409297943115234, 6.548908710479736, -29.56186046356167, -29.082695378896524, -26.678050818003456, -29.07888385816159, -22.695880729107394, 0.4566495716571808, 0.0, 8.429332733154297, 20.962345123291016, 0.981780534306477, -0.2902192191863465, -0.707654003751449, -0.8988387697264781, -0.9032407734789489, -0.99982444392219, -0.9979939581297693]",[0],PSR,PSR,PSR,PSR
68,J0426.7+5437,14.19,66.681,54.6168,1.0,0.71,YNG/YNG,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,,,NA,NA,NA,NA
69,J0858.6-4357,14.13,134.657,−43.9582,0.94,0.56,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
70,J0953.7-1510,14.0,148.429,−15.1745,0.97,0.88,MSP/MSP,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,,,NA,NA,NA,NA
71,J1901.5-0126,13.97,285.399,−1.4481,0.31,0.26,YNG/YNG,J1901.4-0126,PSR,J1901.5-0126,J1901.4-0126,PSR,J1901.5-0126,J1901.4-0126,MSP,J1901.5-0126,J1901.4-0126,MSP,J1901.5-0126,"[2.4165494441986084, 2.164389133453369, 2.090243339538574, 13.919856071472168, -30.25643777690161, -29.8456762294842, -27.091980276305794, -29.888313414910122, -22.688989612586703, 0.3458103537559509, 0.09610999375581741, 7.829286098480225, 26.509418487548828, 0.9670195348304973, 0.021567755186902293, -0.514635248579623, -0.6708852985549626, -0.8757336331527681, -0.9999999777824219, 0.9948467219144871]",[0],PSR,PSR,PSR,PSR
72,J1624.1-4700,13.9,246.042,−47.0058,0.88,0.58,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
73,J0838.8-2829,13.74,129.704,−28.4892,0.6,0.57,MSP/MSP,J0838.7-2827,unk,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,,,NA,NA,NA,NA
74,J1852.8+0158,13.71,283.209,1.9722,0.98,0.78,YNG/YNG,,,,J1852.6+0203,,J1852.8+0158,J1852.6+0203,,J1852.8+0158,J1852.6+0203,,J1852.8+0158,,,NA,NA,NA,NA
75,J1317.6-6315,13.53,199.403,−63.2598,0.97,0.64,YNG/YNG,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,,,NA,NA,NA,NA
76,J1231.6-5113,13.45,187.902,−51.2210,0.99,0.39,YNG/MSP,J1231.6-5116,,J1231.6-5113,J1231.6-5116,,J1231.6-5113,J1231.6-5116,PSR,J1231.6-5113,J1231.6-5116,PSR,J1231.6-5113,"[2.579300880432129, 2.238433837890625, 2.1195003986358643, 10.38902759552002, -29.282802494367573, -28.710984521123876, -27.94833913713236, -28.746811600544902, -23.401075225050267, 0.6577098369598389, 0.0, 11.669731140136719, 28.22508430480957, 0.9923860914308407, -0.23094889426306053, -0.671113441388182, -0.989183175494662, -0.9993710163844437, -0.7387372396424534, -0.6176556618907196]",[0],PSR,PSR,PSR,PSR
77,J1641.5-5319,13.22,250.378,−53.3237,0.99,0.57,YNG/MSP,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,"[2.4674453735351562, 2.2008516788482666, 2.1011247634887695, 8.904581069946289, -30.155656940298808, -29.66408435630605, -27.44681387266314, -29.693425534565986, -22.920546975332744, 0.5297417044639587, 0.0, 9.944942474365234, 27.756183624267578, 0.9796290377182977, 0.018827702370170542, -0.5437350498257851, -0.7884629224216031, -0.999716165694074, 0.9801451751632402, -0.999850541657296]",[0],PSR,PSR,PSR,PSR
78,J1120.6+0713,13.18,170.172,7.2235,0.11,0.45,MSP/MSP,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,"[2.1339590549468994, 1.7694761753082275, 1.6656829118728638, 13.761868476867676, -31.05065615384483, -30.516471987027536, -28.40141348198608, -30.561190352791687, -23.427317581239425, 0.4415677785873413, 0.11406157165765762, 8.45891284942627, 27.04538917541504, -0.6450350974000506, 0.32747841731138355, -0.31073036276578303, -0.5881014724811596, -0.9995706546390197, 0.952528976308705, -0.9996931396232955]",[1],PSR,PSR,PSR,PSR
79,J1026.2-5730,13.14,156.56,−57.5166,0.96,0.85,YNG/YNG,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,,,NA,NA,NA,NA
80,J1843.7-0322,13.09,280.928,−3.3772,1.0,0.7,YNG/YNG,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322,,,NA,NA,NA,NA
81,J0223.6+6204,12.88,35.906,62.0811,1.0,0.86,YNG/YNG,J0222.4+6156e,snr,J0223.6+6204,J0222.4+6156e,snr,J0223.6+6204,J0222.4+6156e,snr,J0223.6+6204,,,,,,NA,NA,NA,NA
82,J0737.2-3233,12.87,114.314,−32.5588,0.98,0.51,YNG/MSP,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233,,,NA,NA,NA,NA
83,J1503.5-5801,12.8,225.893,−58.0294,0.92,0.51,YNG/YNG,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801,"[2.554786443710327, 2.5468156337738037, 2.460344076156616, 9.549095153808594, -30.12326938616414, -29.747426601974503, -26.11522325523545, -29.751301836359016, -22.28611800492102, 0.23960985243320465, 0.0, 6.140142917633057, 24.802766799926758, 0.9999979682535179, -0.34302142835689564, -0.6173965489549271, -0.7714201732787973, -0.8531871695707778, -0.8445368901338546, 0.26330812290217503]",[1],PSR,PSR,PSR,PSR
