,BSL,CLASS1-BSL,1FGL,CLASS1-1FGL,1FGL-BSL,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL,3FGL,CLASS1-3FGL,3FGL-BSL,3FGL-1FGL,3FGL-2FGL
122,J1536.7-4947,,J1536.5-4949,,J1536.7-4947,J1536.4-4949,,J1536.7-4947,J1536.5-4949,J1536.3-4949,psr,J1536.7-4947,J1536.5-4949,J1536.4-4949
126,J1604.0-4904,,J1603.8-4903,agu,J1604.0-4904,J1603.8-4904,bzb,J1604.0-4904,J1603.8-4903,J1603.9-4903,bll,J1604.0-4904,J1603.8-4903,J1603.8-4904
128,J1622.4-4945,,,,,,,,,,,,,
131,J1634.9-4737,,,,,,,,,,,,,
135,J1653.4-0200,,J1653.6-0158,,J1653.4-0200,J1653.6-0159,,J1653.4-0200,J1653.6-0158,J1653.6-0158,,J1653.4-0200,J1653.6-0158,J1653.6-0159
141,J1741.4-3046,,,,,J1740.4-3054c,spp,J1741.4-3046,J1740.3-3053c,J1741.1-3053,snr,J1741.4-3046,,J1740.4-3054c
143,J1746.0-2900,,,,,,,,,,,,,
148,J1805.3-2138,,J1805.2-2137c,spp,J1805.3-2138,J1805.6-2136e,SNR,J1805.3-2138,,J1805.6-2136e,SNR,J1805.3-2138,J1805.2-2137c,J1805.6-2136e
150,J1813.5-1248,,J1813.3-1246,PSR,J1813.5-1248,J1813.4-1246,PSR,J1813.5-1248,J1813.3-1246,J1813.4-1246,PSR,J1813.5-1248,J1813.3-1246,J1813.4-1246
152,J1821.4-1444,,,,,,,,,J1821.6-1436c,,J1821.4-1444,,
155,J1830.3+0617,,J1830.1+0618,agu,J1830.3+0617,J1830.1+0617,bzq,J1830.3+0617,J1830.1+0618,J1830.1+0617,fsrq,J1830.3+0617,J1830.1+0618,J1830.1+0617
158,J1836.1-0727,,,,,,,,,,,,,
160,J1839.0-0549,,J1839.1-0543c,,J1839.0-0549,,,,,J1839.3-0552,,J1839.0-0549,,
161,J1844.1-0335,,J1844.2-0342c,,J1844.1-0335,J1844.3-0343c,,J1844.1-0335,J1844.2-0342c,,,,,
163,J1848.6-0138,,J1848.1-0145c,,J1848.6-0138,J1848.2-0139c,,J1848.6-0138,J1848.1-0145c,J1848.4-0141,,J1848.6-0138,J1848.1-0145c,J1848.2-0139c
166,J1900.0+0356,,,,,,,,,J1900.3+0411c,,J1900.0+0356,J1900.3+0420c,
176,J2001.0+4352,,J2001.1+4351,agu,J2001.0+4352,J2001.1+4352,bzb,J2001.0+4352,J2001.1+4351,J2001.1+4352,bll,J2001.0+4352,J2001.1+4351,J2001.1+4352
182,J2027.5+3334,,J2027.6+3335,,J2027.5+3334,,,,,,,,,
184,J2055.5+2540,,J2055.8+2539,PSR,J2055.5+2540,J2055.8+2539,PSR,J2055.5+2540,J2055.8+2539,J2055.8+2539,PSR,J2055.5+2540,J2055.8+2539,J2055.8+2539
186,J2110.8+4608,,J2111.3+4607,,J2110.8+4608,J2111.3+4605,,J2110.8+4608,J2111.3+4607,J2111.4+4605,PSR,J2110.8+4608,J2111.3+4607,J2111.3+4605
196,J2214.8+3002,,J2214.8+3002,,J2214.8+3002,J2214.7+3000,PSR,J2214.8+3002,J2214.8+3002,J2214.6+3000,PSR,J2214.8+3002,J2214.8+3002,J2214.7+3000
200,J2241.7-5239,,J2241.9-5236,,J2241.7-5239,J2241.7-5236,PSR,J2241.7-5239,J2241.9-5236,J2241.6-5237,PSR,J2241.7-5239,J2241.9-5236,J2241.7-5236
202,J2302.9+4443,,J2302.8+4443,,J2302.9+4443,J2302.7+4443,PSR,J2302.9+4443,J2302.8+4443,J2302.7+4443,PSR,J2302.9+4443,J2302.8+4443,J2302.7+4443
205,J2339.8-0530,,J2339.7-0531,,J2339.8-0530,J2339.6-0532,,J2339.8-0530,J2339.7-0531,J2339.6-0533,PSR,J2339.8-0530,J2339.7-0531,J2339.6-0532
