,3fgl,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl
35,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503
36,J0744.1-2523,J0744.0-2525,,J0744.1-2523,J0744.0-2525,bin,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523
37,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218
38,J0336.1+7500,J0336.0+7502,,J0336.1+7500,J0336.0+7502,,J0336.1+7500,J0336.0+7502,lmb,J0336.1+7500,J0336.0+7502,lmb,J0336.1+7500
39,J1800.8-2402,,,,,,,,,,,,
40,J1754.0-2538,,,,,,,,,,,,
41,J1823.2-1339,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339
42,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239
43,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
44,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
45,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
46,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
47,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
48,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
49,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
50,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
51,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853
52,J1112.0-6135,,,,,,,,,,,,
53,J0914.5-4736,,,,,,,,,,,,
54,J1358.5-6025,J1358.3-6026,,J1358.5-6025,J1358.3-6026,,J1358.5-6025,J1358.3-6026,PSR,J1358.5-6025,J1358.3-6026,PSR,J1358.5-6025
55,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036
56,J0545.6+6019,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019
57,J1742.6-3321,,,,,,,,,,,,
58,J1857.9+0210,,,,,,,,,,,,
59,J1740.5-2843,,,,,,,,,,,,
60,J1748.3-2815c,,,,,,,,,,,,
61,J1754.0-2930,,,,,,,,,,,,
62,J0238.0+5237,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237
63,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552
64,J2117.6+3725,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725
65,J0419.1+6636,J0418.9+6636,,J0419.1+6636,J0418.9+6636,,J0419.1+6636,J0418.9+6636,MSP,J0419.1+6636,J0418.9+6636,MSP,J0419.1+6636
66,J2212.5+0703,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703
