,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl
79,J1857.2+0059,12.39,284.31,0.9863,0.99,0.79,YNG/YNG,J1857.1+0056,,J1857.2+0059,J1857.1+0056,,J1857.2+0059
80,J2103.7-1113,12.33,315.942,−11.2291,0.3,0.42,MSP/MSP,J2103.7-1112,bcu,J2103.7-1113,J2103.7-1112,bcu,J2103.7-1113
81,J0802.3-5610,12.31,120.583,−56.1688,0.87,0.41,MSP/MSP,J0802.1-5612,,J0802.3-5610,J0802.1-5612,,J0802.3-5610
82,J1350.4-6224,12.31,207.622,−62.4120,0.98,0.79,YNG/YNG,J1350.6-6224,PSR,J1350.4-6224,J1350.6-6224,PSR,J1350.4-6224
83,J1139.0-6244,12.23,174.751,−62.7368,0.98,0.54,YNG/YNG,,,,,,
84,J0847.4-4327,12.2,131.863,−43.4587,0.47,0.61,YNG/YNG,,,,,,
85,J0758.6-1451,12.06,119.656,−14.8661,0.95,0.54,MSP/MSP,J0758.8-1450,,J0758.6-1451,J0758.8-1450,,J0758.6-1451
86,J0039.3+6256,11.99,9.834,62.9415,0.92,0.89,MSP/MSP,J0039.1+6257,,J0039.3+6256,J0039.1+6257,,J0039.3+6256
87,J2035.0+3634,11.92,308.758,36.5814,0.94,0.77,MSP/MSP,J2035.0+3632,,J2035.0+3634,J2035.0+3632,psr,J2035.0+3634
88,J2048.8+4436,11.89,312.224,44.6082,0.99,0.48,YNG/YNG,,,,,,
89,J1329.8-6109,11.85,202.468,−61.1620,0.94,0.55,MSP/MSP,J1329.9-6108,,J1329.8-6109,J1329.9-6108,,J1329.8-6109
90,J1813.6-1148,11.84,273.423,−11.8084,1.0,0.68,YNG/YNG,J1813.7-1152,,J1813.6-1148,J1813.7-1152,,J1813.6-1148
91,J2038.4+4212,11.76,309.625,42.2085,0.96,0.73,YNG/YNG,J2038.4+4212,,J2038.4+4212,J2038.4+4212,,J2038.4+4212
92,J1749.2-2911,11.72,267.315,−29.1929,1.0,0.87,YNG/YNG,,,,,,
93,J2023.5+4126,11.63,305.876,41.4337,0.98,0.53,YNG/YNG,J2023.4+4127,bcu,J2023.5+4126,J2023.4+4127,bcu,J2023.5+4126
94,J1528.3-5836,11.53,232.078,−58.6077,0.59,0.65,MSP/MSP,J1528.4-5838,PSR,J1528.3-5836,J1528.4-5838,PSR,J1528.3-5836
95,J1650.0-4438c,11.5,252.507,−44.6387,0.92,0.56,YNG/YNG,J1649.3-4441,,J1650.0-4438c,J1649.3-4441,,J1650.0-4438c
96,J1557.0-4225,11.46,239.264,−42.4218,0.98,0.32,YNG/YNG,,,,,,
97,J1016.5-6034,11.34,154.135,−60.5764,0.49,0.33,MSP/MSP,J1015.5-6030,,J1016.5-6034,J1015.5-6030,,J1016.5-6034
98,J2032.5+3921,11.31,308.139,39.3589,0.91,0.72,YNG/YNG,,,,,,
99,J1033.0-5945,11.3,158.266,−59.7513,0.93,0.44,YNG/YNG,,,,,,
100,J1552.8-5330,11.2,238.212,−53.5131,1.0,0.85,YNG/YNG,,,,,,
101,J1753.6-4447,11.12,268.404,−44.7930,0.75,0.68,MSP/MSP,,,,,,
102,J1037.9-5843,11.11,159.488,−58.7300,0.92,0.62,YNG/YNG,,,,,,
103,J0541.1+3553,10.94,85.277,35.8975,0.99,0.69,YNG/YNG,,,,,,
104,J0312.1-0921,10.92,48.041,−9.3593,0.74,0.52,MSP/MSP,J0312.1-0921,,J0312.1-0921,J0312.1-0921,psr,J0312.1-0921
105,J0855.4-4818,10.88,133.855,−48.3163,0.99,0.68,YNG/YNG,,,,,,
106,J1919.9+1407,10.88,289.981,14.1179,0.52,0.68,YNG/YNG,,,,,,
107,J1544.6-1125,10.85,236.17,−11.4275,0.64,0.29,MSP/MSP,J1544.5-1126,bcu,J1544.6-1125,J1544.5-1126,lmb,J1544.6-1125
108,J2042.4+4209,10.74,310.614,42.1532,0.62,0.52,YNG/YNG,,,,,,
109,J1737.9-2511,10.73,264.476,−25.1858,0.97,0.54,YNG/YNG,,,,,,
110,J2333.0-5525,10.72,353.264,−55.4265,0.1,0.18,MSP/MSP,J2333.1-5527,,J2333.0-5525,J2333.1-5527,bin,J2333.0-5525
111,J2039.4+4111,10.72,309.854,41.1982,0.94,0.7,YNG/YNG,,,,,,
112,J1616.8-5343,10.63,244.205,−53.7243,0.88,0.43,MSP/YNG,J1616.6-5341,,J1616.8-5343,J1616.6-5341,,J1616.8-5343
113,J0857.6-4258,10.62,134.409,−42.9824,0.76,0.5,YNG/YNG,,,,,,
114,J1518.2-5232,10.36,229.571,−52.5349,0.36,0.35,MSP/MSP,J1517.9-5233,,J1518.2-5232,J1517.9-5233,,J1518.2-5232
115,J2034.6+4302,10.34,308.67,43.0390,0.99,0.74,YNG/YNG,,,,,,
116,J0641.1+1004,10.22,100.286,10.0833,0.61,0.24,YNG/YNG,,,,,,
117,J1652.8-4351,10.2,253.203,−43.8566,0.96,0.67,YNG/YNG,J1653.2-4349,,J1652.8-4351,J1653.2-4349,,J1652.8-4351
118,J1627.8+3217,10.17,246.968,32.2988,0.39,0.38,MSP/MSP,J1627.7+3219,,J1627.8+3217,J1627.7+3219,psr,J1627.8+3217
119,J2133.0-6433,10.13,323.259,−64.5535,0.12,0.53,MSP/MSP,J2133.1-6432,,J2133.0-6433,J2133.1-6432,,J2133.0-6433
120,J0915.8-5110,10.1,138.964,−51.1799,0.68,0.22,YNG/YNG,,,,,,
121,J1900.8+0337,10.1,285.205,3.6230,1.0,0.69,YNG/YNG,J1900.4+0339,,J1900.8+0337,J1900.4+0339,,J1900.8+0337
122,J1844.3-0344,10.06,281.1,−3.7468,1.0,0.84,YNG/YNG,J1844.4-0345,PSR,J1844.3-0344,J1844.4-0345,PSR,J1844.3-0344
123,J0940.6-7609,10.06,145.164,−76.1608,0.43,0.39,MSP/MSP,J0940.3-7610,,J0940.6-7609,J0940.3-7610,,J0940.6-7609
124,J1744.7-2252,10.05,266.181,−22.8695,0.95,0.47,YNG/YNG,,,,J1745.5-2249,,J1744.7-2252
125,J1727.7-2637,10.04,261.946,−26.6251,1.0,0.53,YNG/YNG,,,,,,
