,BSL,CLASS1-BSL
70,J1015.2+4927,bzb
71,J1015.9+0515,bzq
72,J1018.2-5858, x
73,J1024.0-5754,
74,J1028.6-5817,PSR
75,J1034.0+6051,bzq
76,J1045.6-5937,
77,J1047.6-5834,PSR
78,J1053.7+4926,bzb
79,J1054.5+2212,bzb
80,J1057.8+0138,bzq
81,J1058.1-5225,PSR
82,J1058.9+5629,bzb
83,J1100.2-8000,bzb
84,J1104.5+3811,bzb
85,J1106.4-6055, x
86,J1115.8-6108,
87,J1123.0-6416,
88,J1129.8-1443,bzq
89,J1146.7-3808,bzq
90,J1159.2+2912,bzq
91,J1218.0+3006,bzb
92,J1221.7+2814,bzb
93,J1229.1+0202,bzq
94,J1231.5-1410,
95,J1246.6-2544,bzq
96,J1248.7+5811,bzb
97,J1253.4+5300,bzb
98,J1256.1-0547,bzq
99,J1310.6+3220,bzq
100,J1311.9-3419,
101,J1325.4-4303,rdg
102,J1326.6-5302,
103,J1328.8-5604,
104,J1331.7-0506,bzq
105,J1333.3+5058,bzq
106,J1355.0-1044,bzq
107,J1413.1-6203,
108,J1418.8-6058,PSR
109,J1427.1+2347,bzb
110,J1430.5-5918,
111,J1457.6-3538,bzq
112,J1459.4-6056,PSR
113,J1504.4+1030,bzq
114,J1509.5-5848,PSR
115,J1511.2-0536,bzq
116,J1512.7-0905,bzq
117,J1514.3-4946,
118,J1517.9-2423,bzb
119,J1522.2+3143,bzq
120,J1536.7-4947,
121,J1543.1+6130,bzb
122,J1553.4+1255,bzq
123,J1555.8+1110,bzb
124,J1604.0-4904,
125,J1615.6-5049, x
126,J1622.4-4945,
127,J1625.8-2527,bzq
128,J1625.9-2423,bzu
129,J1634.9-4737,
130,J1635.2+3809,bzq
131,J1641.4+3939,bzq
132,J1648.1-4606, x
133,J1653.4-0200,
134,J1653.9+3946,bzb
135,J1709.7-4428,PSR
136,J1714.7-3827, x
137,J1719.3+1746,bzb
138,J1732.8-3135,PSR
139,J1741.4-3046,
140,J1742.1-2054,PSR
141,J1746.0-2900,
142,J1751.5+0935,bzb
143,J1801.6-2327, x
144,J1802.2+7827,bzb
145,J1802.6-3939,bzu
146,J1805.3-2138,
147,J1809.5-2331,PSR
148,J1813.5-1248,
149,J1814.3-1739, x
150,J1821.4-1444,
151,J1825.9-1256,PSR
152,J1826.3-1451,hxb
153,J1830.3+0617,
154,J1833.4-2106,bzq
155,J1834.4-0841, x
156,J1836.1-0727,
157,J1836.2+5924,PSR
158,J1839.0-0549,
159,J1844.1-0335,
160,J1847.8+3223,bzq
161,J1848.6-0138,
162,J1849.4+6706,bzq
163,J1855.9+0126, x
164,J1900.0+0356,
165,J1907.5+0602,PSR
166,J1911.0+0905, x
167,J1911.2-2011,bzq
168,J1923.0+1411, x
169,J1923.3-2101,bzq
170,J1953.2+3249,PSR
171,J1954.4+2838, x
172,J1958.1+2848,PSR
173,J2000.2+6506,bzb
174,J2001.0+4352,
175,J2009.4-4850,bzb
176,J2017.2+0602,bzu
177,J2020.8+3649,PSR
178,J2021.5+4026,PSR
179,J2025.6-0736,bzq
180,J2027.5+3334,
181,J2032.2+4122,PSR
182,J2055.5+2540,
183,J2056.1-4715,bzq
184,J2110.8+4608,
185,J2124.7-3358,PSR
186,J2139.4-4238,bzb
187,J2143.2+1741,bzq
188,J2147.1+0931,bzq
189,J2157.5+3125,bzq
190,J2158.8-3014,bzb
191,J2202.4+4217,bzb
192,J2203.2+1731,bzq
193,J2207.0-5347,bzq
