,4FGLDR3,CLASS1-4FGLDR3,4FGLDR3-3FGL
379,J0131.2+5547,bcu,J0131.3+5548
380,J0131.7-5346,,J0132.1-5340
381,J0132.1-0956,,
382,J0132.7-1654,fsrq,J0132.6-1655
383,J0132.7-0804,fsrq,J0132.5-0802
384,J0132.8-4413,bll,J0133.0-4413
385,J0132.8+4324,bcu,J0133.3+4324
386,J0132.9-4259,,
387,J0133.0+5931,,J0133.3+5930
388,J0133.1-5201,fsrq,J0133.2-5159
389,J0133.2-4533,bcu,
390,J0133.7-3409,,
391,J0133.7-5527,bcu,
392,J0134.3-3842,fsrq,J0134.3-3842
393,J0134.5+2637,fsrq,J0134.5+2638
394,J0135.0+5338,bcu,
395,J0135.1+0255,bll,
396,J0136.2-4708,,
397,J0136.5+3906,bll,J0136.5+3905
398,J0136.8+2032,bcu,
399,J0137.0+4751,fsrq,J0137.0+4752
400,J0137.3-3239,,
401,J0137.6-2430,fsrq,J0137.6-2430
402,J0137.9+5814,bll,J0137.8+5813
403,J0138.0+2247,bll,
404,J0138.5+0300,,
405,J0138.5-4613,bll,J0138.5-4612
406,J0138.6+2923,bcu,
407,J0138.6+6821,unk,
408,J0139.0+2601,bll,
409,J0139.2-1705,,
410,J0139.5-2228,,
411,J0140.3+7054,,
412,J0140.4+5114,,
413,J0140.5-4730,,
414,J0140.6-0758,bll,
415,J0140.6+8736,bcu,J0139.9+8735
416,J0141.4-0928,bll,J0141.4-0929
417,J0142.5+6650,,
418,J0142.7-0543,bll,
419,J0143.1-3622,bcu,
420,J0143.3-0119,bcu,
421,J0143.5-3156,fsrq,
422,J0143.7-5846,bll,J0143.7-5845
423,J0143.8+4947,,
424,J0144.3+5959,,
425,J0144.6+2705,bll,J0144.6+2705
426,J0145.0-2732,fsrq,J0145.1-2732
427,J0145.9+2319,bcu,
428,J0146.0-6746,bll,J0146.4-6746
429,J0146.3+4606,bcu,
430,J0146.9-5202,bll,J0147.0-5204
431,J0147.6+1547,bcu,J0147.4+1547
432,J0147.6-6028,bcu,
433,J0147.6-0825,bcu,
434,J0147.7-1321,bcu,
435,J0148.2+5201,bll,J0148.3+5200
436,J0148.6+0127,bll,J0148.6+0128
437,J0149.6-0734,bcu,
438,J0150.4+4848,,J0149.6+4846
439,J0150.5-3337,bcu,
440,J0150.6-5448,bcu,J0150.5-5447
441,J0150.9+1230,,
442,J0151.0+0539,bcu,J0151.0+0537
443,J0151.3+8601,bll,J0145.6+8600
444,J0151.4-3607,bcu,J0151.0-3609
445,J0151.7+5455,bcu,
446,J0152.2+3714,bcu,J0152.2+3707
447,J0152.2+2206,fsrq,J0151.6+2205
448,J0152.6+0147,bll,J0152.6+0148
449,J0152.9-1109,,
450,J0153.0+7517,bll,J0152.8+7517
451,J0153.3+5416,,
452,J0153.3-1845,,
453,J0153.4+7114,rdg,J0153.4+7114
454,J0153.5-5107,fsrq,
455,J0153.9+0823,bll,J0154.0+0824
456,J0154.3-0236,fsrq,
457,J0154.5-6604,bcu,
458,J0154.6+0051,,
459,J0155.0+4433,bll,J0154.9+4433
460,J0155.4-0625,bcu,
461,J0155.7+6642,,
462,J0156.1+1502,bcu,
463,J0156.3-2420,,J0156.5-2423
464,J0156.5+3914,fsrq,J0156.3+3913
465,J0156.6-1758,bcu,
466,J0156.8-4744,bll,J0156.9-4742
467,J0156.9-5301,bll,J0157.0-5301
468,J0156.9+4648,bcu,
469,J0156.9-3235,bcu,
470,J0157.7-4614,fsrq,J0157.9-4615
471,J0158.2+2515,bll,
472,J0158.4+1230,,
473,J0158.5-5005,bcu,
474,J0158.5+0549,,
475,J0158.5-3932,bll,J0158.6-3931
476,J0158.8+0101,fsrq,J0158.6+0102
477,J0159.0-4255,,
478,J0159.0+3313,,
479,J0159.3-4523,bcu,
480,J0159.5+1046,bll,J0159.4+1046
481,J0159.7-2740,bll,J0159.8-2741
482,J0159.8-2234,,
483,J0200.3-4109,bll,J0200.3-4108
484,J0200.6-6637,fsrq,J0200.9-6635
485,J0201.1+0036,bll,
486,J0201.1-4347,bcu,
487,J0202.1+3939,fsrq,
488,J0202.3-0605,bcu,
489,J0202.4+0849,fsrq,J0202.3+0851
490,J0202.4+2943,,
491,J0202.6-0258,fsrq,
492,J0202.7+4204,bll,J0202.5+4206
493,J0202.7+3133,,
494,J0202.9-0225,bcu,J0203.1-0227
495,J0203.3-2507,,
496,J0203.6+7233,bll,J0204.0+7234
497,J0203.7+3042,bll,J0203.6+3043
498,J0203.9+5411,bcu,
499,J0203.9+8120,,
500,J0204.0-3334,bll,
501,J0204.1-2919,bcu,
502,J0204.3-3140,bcu,
503,J0204.3+2417,bll,J0204.2+2420
504,J0204.7+6656,,
505,J0204.8+1513,bcu,J0205.0+1510
506,J0205.0-1700,fsrq,J0205.2-1700
507,J0205.2+3212,fsrq,J0204.8+3212
508,J0205.7+6449,PSR,J0205.5+6448
509,J0206.0-0958,fsrq,
510,J0206.4-1151,fsrq,J0206.4-1150
511,J0206.4+3829,bcu,
512,J0206.8-5744,bcu,
513,J0207.2-1832,,
514,J0207.4-3855,bll,J0207.9-3846
515,J0207.5-1049,bcu,
516,J0207.5-2402,bcu,
517,J0207.9+2203,bcu,
518,J0207.9+0953,bcu,
519,J0208.3-6838,bll,J0208.0-6838
520,J0208.5-0046,bll,
521,J0208.6+3523,bll,J0208.6+3522
522,J0209.3+4449,bll,J0209.5+4449
523,J0209.3-5228,bll,J0209.4-5229
524,J0209.7+6437,bcu,
525,J0209.8+2626,,
526,J0209.9+7229,bll,
527,J0210.1+2518,bcu,
528,J0210.5-1445,bcu,
529,J0210.7-5101,FSRQ,J0210.7-5101
530,J0211.1-0646,bll,J0211.2-0649
531,J0211.2+1051,BLL,J0211.2+1051
532,J0211.5+6219,,
533,J0212.1+5321,bin,J0212.1+5320
534,J0212.2-2559,bcu,
535,J0212.2-0219,bll,
536,J0212.4-3502,bll,J0212.8-3504
537,J0212.8-2721,bcu,J0213.1-2720
538,J0212.9+2244,bll,J0213.0+2245
539,J0213.8-6949,bcu,
540,J0214.1-4733,bll,
541,J0214.2-7025,bcu,
542,J0214.3+5145,bll,J0214.4+5143
543,J0214.4-5822,bcu,J0214.7-5823
544,J0214.6-4333,bcu,
545,J0214.8-6150,bcu,
546,J0214.9-3722,bcu,
547,J0215.0-5330,,
548,J0215.2-1619,bll,
549,J0215.3+7555,bcu,
550,J0215.9+0521,bcu,
551,J0215.9+0300,bcu,J0216.0+0300
552,J0216.5+2313,bll,
553,J0216.6-1015,bcu,J0216.6-1019
554,J0216.8-6635,bll,J0217.0-6635
555,J0216.8+0510,bcu,J0216.4+0507
556,J0217.0-0821,fsrq,J0217.1-0833
557,J0217.2+0837,bll,J0217.2+0837
558,J0217.4+7352,fsrq,J0217.5+7349
559,J0217.8+0144,fsrq,J0217.8+0143
560,J0218.1+4232,MSP,J0218.1+4233
561,J0218.7+2640,bcu,
562,J0218.9-2305,bcu,
563,J0218.9+3643,bcu,J0218.9+3642
564,J0219.0+2443,bll,J0219.0+2440
565,J0219.1-1724,bll,J0219.1-1725
566,J0219.5+0724,bll,
567,J0220.1+1155,,
568,J0220.2+3246,fsrq,
569,J0220.8-0841,bll,
570,J0221.1+3556,FSRQ,J0221.1+3556
571,J0221.2-1312,bcu,
572,J0221.4+6241e,SNR,J0224.0+6235
573,J0221.5+2513,bll,J0221.2+2518
574,J0221.8+3730,bcu,
575,J0222.0-1616,fsrq,J0222.1-1616
576,J0222.4+6156e,snr,J0223.6+6204
577,J0222.6+4302,BLL,J0222.6+4301
578,J0222.7+5016,,
579,J0222.8-0133,,
580,J0223.0-3447,fsrq,
581,J0223.0+6821,bll,J0223.3+6820
582,J0223.1-1117,bll,J0222.9-1117
583,J0223.2-1653,fsrq,
584,J0223.5+5415,bcu,
585,J0223.5+3912,bcu,
586,J0223.5-0928,bcu,
587,J0223.7+3158,,
588,J0224.0-7941,bll,J0224.1-7941
589,J0224.0-1850,bcu,J0224.1-1846
590,J0224.2+0700,fsrq,
591,J0224.2+1616,bcu,J0224.4+1615
592,J0224.8+2937,,
593,J0224.9+1843,fsrq,
594,J0225.1-2604,bcu,J0225.2-2602
595,J0225.5-5530,,
596,J0225.5-5618,bcu,
597,J0225.6-4502,bcu,
598,J0225.8+1310,bcu,
