,1FGL,CLASS1-1FGL,1FGL-BSL
241,J0433.5+3230,bzq,
242,J0434.1-2018,bzb,
243,J0437.2-4715,PSR,
244,J0438.8-1250,bzq,
245,J0439.6-0538,,
246,J0439.8-1857,,
247,J0440.6+2748,bzb,
248,J0442.7-0019,bzq,
249,J0445.2-6008,,
250,J0448.5-1633,bzb,
251,J0448.6+1118,bzb,
252,J0449.5-4350,bzb,J0449.7-4348
253,J0453.2-2805,bzq,
254,J0455.6-4618,bzq,
255,J0456.4-3132,bzq,
256,J0457.0-2325,bzq,J0457.1-2325
257,J0457.9+0649,bzq,
258,J0459.7-6921,gal,
259,J0500.1+5237,spp,
260,J0500.8+3437,,
261,J0501.0-0200,bzq,
262,J0502.9+1857,,
263,J0503.2+4526,spp,
264,J0505.2+0420,bzb,
265,J0505.8-0416,bzq,
266,J0505.9+6121,,
267,J0506.9-5435,,
268,J0507.3-6103,bzq,
269,J0507.9+6738,bzb,J0507.9+6739
270,J0509.2+1015,bzq,
271,J0509.3+0540,bzb,
272,J0510.0+1800,bzq,
273,J0513.0+4048,,
274,J0515.2+7355,,
275,J0515.6-4404,,
276,J0515.9+1528,,
277,J0516.7-6207,agu,J0516.2-6200
278,J0517.6-1737,,
279,J0517.6+0857,,
280,J0518.6-7222,gal,
281,J0520.2+2632,,
282,J0521.6+0103,,
283,J0521.7+2114,agu,
284,J0522.8-3632,bzb,
285,J0523.3-6855,gal,
286,J0523.5-2529,,
287,J0524.1+2842,,
288,J0526.3-4829,bzq,
289,J0527.6+6646,,
290,J0528.4+3838,,
291,J0531.0+1331,bzq,J0531.0+1331
292,J0531.3-6716,gal,
293,J0532.9+0733,bzq,
294,J0533.0-8324,bzq,
295,J0533.0+4825,bzq,
296,J0533.9+6758,,
297,J0534.5+2200,PSR,J0534.6+2201
298,J0534.7-0531c,,
299,J0536.2-3348,bzb,
300,J0536.2-0607c,,
301,J0537.7-5717,,
302,J0538.4-3910,,
303,J0538.6+2717,spp,
304,J0538.8-4404,bzb,J0538.8-4403
305,J0538.9-6914,gal,J0538.4-6856
306,J0539.1-2847,bzq,
307,J0539.4-0400,agu,
308,J0540.4-0737c,,
309,J0540.9-0547,bzq,
310,J0541.1+3542c,,
311,J0541.9-0204c,,
312,J0543.8-5531,bzb,
313,J0545.6+6022,,
314,J0547.0+0020c,,
315,J0549.9+2654c,,
316,J0550.8-4400,,
317,J0551.6+0449c,,
318,J0553.9+3105,spp,
319,J0557.6-3831,bzb,
320,J0559.2-7500,bzb,
321,J0600.5-2006,,
322,J0600.7-7037,bzq,
323,J0600.9+3838,,
324,J0603.0-4012,,
325,J0604.2-4817,,
326,J0605.1+0005,,
327,J0605.3+3800,,
328,J0607.2+4739,bzb,
329,J0608.0-1521,agu,
330,J0608.1-0630c,,
331,J0608.2-0837,bzq,
332,J0608.3+2038c,,
333,J0609.3-0244,,
334,J0610.7-2059,psr,
335,J0612.7+4120,bzb,
336,J0613.7-0200,PSR,J0613.9-0202
337,J0614.1-3328,,J0614.3-3330
338,J0616.9+5701,bzb,
339,J0617.2+2233,SNR,J0617.4+2234
340,J0617.7-1718,bzb,
341,J0621.5+2508,,
342,J0622.2+3751,,
343,J0622.3-2604,agu,
344,J0623.5+3330,,
345,J0625.4+4440,bzb,
346,J0625.7+0001,,
347,J0625.9-0613,,
348,J0625.9-5430,bzq,
349,J0626.6-4254,agu,
350,J0627.3-3530,agn,
351,J0629.6-2000,bzb,
352,J0630.1+0622,,
353,J0630.9-2406,bzb,
354,J0631.4+1037,PSR,J0631.8+1034
355,J0633.7+0632,PSR,J0633.5+0634
356,J0633.9+1746,PSR,J0634.0+1745
357,J0634.3+0402c,,
358,J0636.0+0458c,spp,
359,J0636.1-7521,bzq,
360,J0639.9+7325,bzq,
361,J0641.5+1023c,,
362,J0643.2+0859,agu,J0643.2+0858
363,J0645.5+0446,,
364,J0645.5+6033,agn,
365,J0647.3+0031,,
366,J0648.6-6052,,
367,J0648.7-1740,bzq,
368,J0648.8+1516,,
369,J0650.6-1635,agu,
370,J0650.7+2503,bzb,
371,J0651.1-3022,,
372,J0653.6+8236,,
373,J0654.3+4514,bzq,J0654.3+4513
374,J0654.4+5042,agu,J0654.3+5042
375,J0656.2-0321,agu,
376,J0658.5+0641,,
377,J0659.8+1414,PSR,
378,J0659.9+1303,,
379,J0700.4-6611,agu,J0700.0-6611
380,J0702.0-4628,bzq,
381,J0702.2-1954,agu,
382,J0705.9-1051c,,
383,J0706.3-4849,agu,
384,J0706.5+3744,,
385,J0707.3+7742,,
386,J0709.0-1116,,
387,J0710.6+5911,bzb,
388,J0711.4+4731,bzb,
389,J0712.7+5033,bzb,J0712.9+5034
390,J0713.7-0950,,
391,J0714.0+1935,bzq,J0714.2+1934
392,J0718.7-4320,agu,
393,J0718.8-4958,,
394,J0719.3+3306,bzq,J0719.4+3302
395,J0721.4+0401,agu,
396,J0721.9+7120,bzb,J0722.0+7120
397,J0722.3+5837,bzb,
398,J0723.6+2908,,
399,J0724.1-3522,,
400,J0724.7-2223c,,
401,J0724.7-4714,,
402,J0725.3+1431,bzq,
403,J0725.9-0053,bzb,
404,J0730.0+3305,bzb,
405,J0730.3-1141,bzq,J0730.4-1142
406,J0731.2-1910c,,
407,J0731.9-1517,,
408,J0734.1-7715,agu,
409,J0734.7-1557,,
410,J0736.4+4053,,
411,J0737.4-3239,,
412,J0738.2+1741,bzb,J0738.2+1738
413,J0739.1+0138,bzq,
414,J0742.1-4849c,,
415,J0742.2+5443,bzq,
416,J0742.8-2822,PSR,
417,J0743.0-3110,,
418,J0744.1-2523,,
419,J0745.2+7438,bzb,
420,J0746.5-0711,,
421,J0746.6+2548,bzq,
422,J0747.1-2333,,
423,J0747.4-3303,,
424,J0750.6+1235,bzq,
425,J0751.1+1807,PSR,
426,J0752.8+5353,bzb,
427,J0753.1+4649,,
428,J0753.6-2718,,
429,J0754.4-1147,agu,
430,J0757.2+0956,bzb,
431,J0758.6-1450,,
432,J0800.5+4407,agu,
433,J0802.4-5622,,
434,J0803.1-0339,,
435,J0804.7+7534,bzb,
436,J0806.2+6148,bzq,
437,J0807.0-0544,agu,
438,J0808.2-0750,bzq,
439,J0809.4+3455,bzb,
440,J0809.5+5219,bzb,
441,J0811.1-7527,agu,
442,J0811.2+0148,bzb,
443,J0814.5-1011,,
444,J0815.0+6434,bzb,
445,J0816.4-1311,bzb,
446,J0816.7+5739,bzb,
447,J0818.0-0938,bzb,
448,J0818.2+4222,bzb,J0818.3+4222
449,J0823.3-4248,spp,
450,J0825.0+5555,bzq,J0824.9+5551
451,J0825.8-2230,bzb,J0826.0-2228
452,J0825.9-3216,agu,
453,J0825.9+0309,bzb,
454,J0827.9-3738,agu,
455,J0828.9+0901,,
456,J0830.5+2407,bzq,
457,J0831.6+0429,bzb,
458,J0834.4+4221,bzq,
459,J0835.3-4510,PSR,J0835.4-4510
460,J0835.4+0936,bzb,
461,J0838.6-2828,,
462,J0839.5+0059,bzq,
463,J0840.8+1310,agn,
464,J0841.4-3558,,
465,J0841.9-4620,spp,
466,J0842.2+0251,bzb,
467,J0842.2+7054,bzq,
468,J0843.4+6718,,
469,J0844.0+5314,bzb,
470,J0845.0-5459,agu,
471,J0845.5-4327c,,
472,J0845.9-0713,,
473,J0846.9-2334,agu,
474,J0847.2+1134,bzb,
475,J0847.4+1517,,
476,J0848.6+0504,,
477,J0849.0-6754,,
478,J0849.3+6607,,
479,J0849.4-2912,,
480,J0849.6-3540,agu,
481,J0849.9+4852,agu,
482,J0850.0-1213,bzq,
483,J0850.2+3457,bzb,
484,J0854.0-4632,spp,
485,J0854.6-4504,,
486,J0854.8+2006,bzb,J0855.4+2009
487,J0856.6+2103,bzq,
488,J0856.6-1105,agu,
489,J0857.7-4345,,
490,J0857.9-2553,,
491,J0900.5+3410,,
492,J0902.4+2050,,
493,J0902.5-4731c,,
494,J0904.7-3514,,
495,J0905.1-5736,bzq,
496,J0905.5+1356,agu,
497,J0906.3-4855c,,
498,J0906.4-0903,,
499,J0908.7-2119,,
500,J0909.0+0126,bzq,
501,J0909.2+2310,bzb,
502,J0909.6-0229,bzq,
503,J0910.4-5055,,J0910.2-5044
504,J0910.7+3332,bzb,
505,J0911.0+2247,bzq,
506,J0912.3+4127,bzq,
507,J0912.6+2756,,
508,J0915.7+2931,bzb,
509,J0919.6+6216,bzq,
510,J0920.9+4441,bzq,J0921.2+4437
511,J0922.0+2337,,
512,J0923.2+4121,agn,
513,J0924.2+2812,bzq,
514,J0926.9+1452,,
515,J0929.0-3531,,
516,J0929.4+5000,,
517,J0933.9-6228,,
518,J0934.5+3929,bzb,
519,J0937.7+5005,bzq,
520,J0940.2-7605,,
521,J0941.2+2722,bzq,
522,J0941.2+6149,bzb,
523,J0942.1+4313,,
524,J0945.6+5754,bzb,
525,J0946.6+1012,bzq,
526,J0949.0+0021,agn,J0948.3+0019
527,J0949.8+1757,bzq,
528,J0952.2+3926,bzb,
529,J0953.0-0838,bzb,
530,J0953.6-1505,,
531,J0955.2-3949,,
532,J0956.5+6938,sbg,
533,J0956.9+2513,bzq,
534,J0957.7+5523,bzq,J0957.6+5522
535,J1000.1+6539,bzb,
536,J1000.9+2915,bzb,
537,J1006.3-5648,,
538,J1007.0+3454,bzb,
539,J1007.1-2157,bzq,
540,J1007.9+0619,bzb,
541,J1011.0-0156,bzq,
542,J1012.2+0634,bzb,
543,J1012.7+2440,bzq,J1012.9+2435
544,J1014.0-3146,,
545,J1015.1+4927,bzb,J1015.2+4927
546,J1016.1+0514,bzq,J1015.9+0515
547,J1016.2+3548,,
548,J1018.6-5856,spp,J1018.2-5858
549,J1022.8-0115,bzb,
550,J1023.0-5746,PSR,
551,J1023.6+3937,bzq,
552,J1024.0-4332,bzb,
553,J1024.6-0718,psr,
554,J1027.1-1747,bzb,
555,J1028.4-5819,PSR,J1028.6-5817
556,J1028.7-8543,agu,
557,J1029.2-6422,,
558,J1031.0+5051,bzb,
559,J1032.7+3737,bzb,
560,J1033.2+4116,bzq,
561,J1033.5-5033,,
562,J1033.8+6048,bzq,J1034.0+6051
