,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl,4fgldr2_features,4fgldr2_labels,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2
31,J0954.8-3948,18.89,148.712,−39.8087,0.86,0.26,MSP/MSP,,,,,,,,,,,,,,,NA,NA,NA,NA
32,J1848.4-0141,18.67,282.118,−1.6927,1.0,0.73,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
33,J2004.4+3338,18.46,301.103,33.6451,0.66,0.2,MSP/YNG,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,,,NA,NA,NA,NA
34,J2041.1+4736,18.38,310.281,47.6030,0.99,0.43,YNG/YNG,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,,,NA,NA,NA,NA
35,J0854.8-4503,18.21,133.711,−45.0616,0.98,0.82,YNG/YNG,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,,,NA,NA,NA,NA
36,J0744.1-2523,18.1,116.045,−25.3994,0.97,0.38,MSP/YNG,J0744.0-2525,,J0744.1-2523,J0744.0-2525,bin,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523,,,NA,NA,NA,NA
37,J0002.6+6218,17.97,0.674,62.3006,0.99,0.81,YNG/YNG,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,"[2.4565813541412354, 2.317369222640991, 1.115103006362915, 6.010043621063232, -30.417441797274442, -30.039546468913493, -27.368662826926677, -30.009207900396383, -22.896405893070668, 0.4435420632362366, 0.0, 10.631234169006348, 30.155426025390625, 0.1385010959032461, -0.1756836622643149, -0.5468336679801444, -0.7269190795415686, -0.9773315996686797, -0.9999754635698646]",[0],PSR,PSR,PSR,PSR
38,J0336.1+7500,17.75,54.044,75.0153,0.95,0.72,MSP/MSP,J0336.0+7502,,J0336.1+7500,J0336.0+7502,,J0336.1+7500,J0336.0+7502,lmb,J0336.1+7500,J0336.0+7502,lmb,J0336.1+7500,,,NA,NA,NA,NA
39,J1800.8-2402,17.48,270.222,−24.0351,0.98,0.77,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
40,J1754.0-2538,16.84,268.508,−25.6486,0.95,0.79,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
41,J1823.2-1339,16.64,275.82,−13.6513,1.0,0.8,YNG/YNG,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,,,NA,NA,NA,NA
42,J1208.4-6239,16.23,182.12,−62.6612,0.98,0.75,YNG/YNG,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,"[2.412675380706787, 2.571742534637451, 1.5910884141921997, 6.971627235412598, -31.457501720195427, -31.199015068723114, -26.57066078332333, -31.153641846874308, -22.068172972778118, 0.2598559558391571, 0.0, 8.300639152526855, 28.049028396606445, -0.9342648647912941, 0.9667159100666215, -0.5976428887791541, -0.6285674537778868, -0.8861544618642875, -0.89325255059662]",[0],PSR,PSR,PSR,PSR
43,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,"[2.4541869163513184, 2.548003673553467, 0.9467144012451172, 7.694177150726318, -30.615984687538095, -30.26663712975256, -26.28050618350454, -30.214332475728284, -21.65455982622528, 0.48053592443466187, 0.0, 11.29362964630127, 28.685441970825195, 0.4496603314393771, 0.2160017104935457, -0.5064564662230163, -0.6793878934568353, -0.9677962431849548, -0.8003608132134568]",[0],PSR,PSR,PSR,PSR
45,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,,,NA,NA,NA,NA
51,J1056.7-5853,16.11,164.179,−58.8960,1.0,0.67,YNG/YNG,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,"[2.564375638961792, 2.4906728267669678, 3.060496237594634e-05, 4.103241920471191, -30.378774685658144, -29.810570161206844, -27.770456629782895, -29.92600128211234, -22.616981582593567, 0.9999879598617554, 0.0, 9.231670379638672, 17.186878204345703, -0.9993400469333142, 0.9997977008514168, -0.282098809031539, -0.881154354711581, -0.9999977812788814, -0.9999478723701036]",[0],PSR,PSR,PSR,PSR
52,J1112.0-6135,15.69,168.017,−61.5842,0.97,0.65,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
53,J0914.5-4736,15.57,138.641,−47.6152,0.5,0.39,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
54,J1358.5-6025,15.43,209.643,−60.4298,1.0,0.7,YNG/YNG,J1358.3-6026,,J1358.5-6025,J1358.3-6026,,J1358.5-6025,J1358.3-6026,PSR,J1358.5-6025,J1358.3-6026,PSR,J1358.5-6025,,,NA,NA,NA,NA
55,J1104.9-6036,15.4,166.248,−60.6091,1.0,0.85,YNG/YNG,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,"[2.4749293327331543, 2.4949731826782227, 1.116624355316162, 4.732628345489502, -30.916598202286863, -30.56704875122314, -26.773440976236643, -30.60750604937644, -22.207456219685863, 0.44903212785720825, 0.0, 9.45960521697998, 25.254796981811523, 0.8363092523495411, -0.3007218037818675, -0.4968340512478897, -0.6732949371499862, -0.9143184821294293, -0.9999994899530061]",[0],PSR,PSR,PSR,PSR
56,J0545.6+6019,15.39,86.415,60.3219,0.56,0.37,MSP/MSP,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,,,NA,NA,NA,NA
57,J1742.6-3321,15.31,265.665,−33.3562,1.0,0.83,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
58,J1857.9+0210,15.19,284.49,2.1704,1.0,0.85,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
59,J1740.5-2843,15.13,265.125,−28.7170,1.0,0.76,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
60,J1748.3-2815c,15.11,267.092,−28.2589,0.98,0.78,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
61,J1754.0-2930,15.03,268.5,−29.5059,0.99,0.65,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
62,J0238.0+5237,14.99,39.505,52.6256,0.97,0.65,MSP/MSP,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,,,NA,NA,NA,NA
63,J1839.3-0552,14.92,279.848,−5.8816,1.0,0.88,YNG/YNG,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,,,NA,NA,NA,NA
64,J2117.6+3725,14.5,319.421,37.4256,0.98,0.3,MSP/MSP,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,,,NA,NA,NA,NA
65,J0419.1+6636,14.47,64.778,66.6049,0.26,0.33,MSP/MSP,J0418.9+6636,,J0419.1+6636,J0418.9+6636,,J0419.1+6636,J0418.9+6636,MSP,J0419.1+6636,J0418.9+6636,MSP,J0419.1+6636,,,NA,NA,NA,NA
66,J2212.5+0703,14.28,333.147,7.0598,0.69,0.4,MSP/MSP,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,,,NA,NA,NA,NA
67,J1447.3-5800,14.23,221.831,−58.0049,1.0,0.61,YNG/YNG,J1447.4-5757,,J1447.3-5800,J1447.4-5757,,J1447.3-5800,J1447.4-5757,PSR,J1447.3-5800,J1447.4-5757,PSR,J1447.3-5800,,,NA,NA,NA,NA
68,J0426.7+5437,14.19,66.681,54.6168,1.0,0.71,YNG/YNG,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,,,NA,NA,NA,NA
69,J0858.6-4357,14.13,134.657,−43.9582,0.94,0.56,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
70,J0953.7-1510,14.0,148.429,−15.1745,0.97,0.88,MSP/MSP,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,,,NA,NA,NA,NA
