,BSL,CLASS1-BSL,1FGL,CLASS1-1FGL,1FGL-BSL,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL
102,J1326.6-5302,,J1327.0-5257,agu,J1326.6-5302,J1326.7-5254,bzb,J1326.6-5302,J1327.0-5257
103,J1328.8-5604,,J1329.2-5605,agu,J1328.8-5604,J1329.2-5608,agu,J1328.8-5604,J1329.2-5605
104,J1331.7-0506,bzq,J1331.9-0506,bzq,J1331.7-0506,J1332.0-0508,bzq,J1331.7-0506,J1331.9-0506
105,J1333.3+5058,bzq,J1333.2+5056,agu,J1333.3+5058,J1333.5+5058,bzq,J1333.3+5058,J1333.2+5056
106,J1355.0-1044,bzq,J1354.9-1041,bzq,J1355.0-1044,J1354.7-1047,bzq,J1355.0-1044,J1354.9-1041
107,J1413.1-6203,,J1413.4-6205,PSR,J1413.1-6203,J1413.4-6204,PSR,J1413.1-6203,J1413.4-6205
108,J1418.8-6058,PSR,J1418.7-6057,PSR,J1418.8-6058,J1418.7-6058,PSR,J1418.8-6058,J1418.7-6057
109,J1427.1+2347,bzb,J1426.9+2347,bzb,J1427.1+2347,J1427.0+2347,bzb,J1427.1+2347,J1426.9+2347
110,J1430.5-5918,,,,,,,,
111,J1457.6-3538,bzq,J1457.5-3540,bzq,J1457.6-3538,J1457.4-3540,BZQ,J1457.6-3538,J1457.5-3540
112,J1459.4-6056,PSR,J1459.4-6053,PSR,J1459.4-6056,J1459.4-6054,PSR,J1459.4-6056,J1459.4-6053
113,J1504.4+1030,bzq,J1504.4+1029,BZQ,J1504.4+1030,J1504.3+1029,BZQ,J1504.4+1030,J1504.4+1029
114,J1509.5-5848,PSR,J1509.4-5850,PSR,J1509.5-5848,J1509.6-5850,PSR,J1509.5-5848,J1509.4-5850
115,J1511.2-0536,bzq,J1511.1-0545,bzq,J1511.2-0536,J1510.9-0545,bzq,J1511.2-0536,J1511.1-0545
116,J1512.7-0905,bzq,J1512.8-0906,BZQ,J1512.7-0905,J1512.8-0906,BZQ,J1512.7-0905,J1512.8-0906
117,J1514.3-4946,,J1514.1-4945,,J1514.3-4946,J1514.1-4946,psr,J1514.3-4946,J1514.1-4945
118,J1517.9-2423,bzb,J1517.8-2423,bzb,J1517.9-2423,J1517.7-2421,bzb,J1517.9-2423,J1517.8-2423
119,J1522.2+3143,bzq,J1522.1+3143,bzq,J1522.2+3143,J1522.1+3144,bzq,J1522.2+3143,J1522.1+3143
120,J1536.7-4947,,J1536.5-4949,,J1536.7-4947,J1536.4-4949,,J1536.7-4947,J1536.5-4949
