,3fgl,3fgl_features,3fgl_labels,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3,predict_lr_dr4
34,J1823.2-1339,"[2.2214150428771973, 3.861609836055245, -25.961513192779943, -25.562810121483086, 1.5807141439163814, -0.7780287724517351]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
35,J1208.4-6239,"[2.3879847526550293, 4.165737200888863, -27.24383782781099, -26.03892865393875, 1.7572167277948993, -0.4251800184566806]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
36,J1650.3-4600,"[2.4938385486602783, 4.008353754695057, -27.412648056453914, -25.76870627262454, 1.9370043680499194, -0.6814677610976756]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
37,J1056.7-5853,"[2.5418245792388916, 3.57543757270323, -25.68879175708692, -26.6895527945842, 2.220550864093588, -0.8483181311182278]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
38,J1112.0-6135,"[2.6534743309020996, 4.020319111280923, -25.92207942607483, -26.26254933071577, 2.2086945078866553, -0.840069488887389]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
39,J0914.5-4736,"[2.414038896560669, 4.275625542980605, -24.479935376205706, -26.61842390894828, 2.0161777788798334, -0.8170506687471681]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
40,J1358.5-6025,"[2.3573315143585205, 3.973339526498952, -25.16310409654662, -26.326431057844978, 1.7054628323951233, -0.8366443286045829]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
41,J1104.9-6036,"[2.558131694793701, 3.7633902793221097, -27.105172556298598, -26.0998457805108, 2.1501004763709197, -0.11084345529337876]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
42,J0545.6+6019,"[1.793613314628601, 3.5822123992023247, -28.53391259746049, -27.68039395769761, 1.5003157147297947, -0.4577709102187142]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
43,J1742.6-3321,"[2.361750841140747, 3.8762669499149416, -25.952041325324263, -26.466411577670453, 2.0526820598888094, -0.7300479817551896]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
