,4fgldr1,4fgldr1-cls1_x,4fgldr1-3fgl,4fgldr1_features,4fgldr1_labels,3fgl,3fgl-cls1,4fgldr1-cls1_y,4fgldr2,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1
20,J0016.2-0016,fsrq,J0016.3-0013,"[2.726546049118042, 2.5850231647491455, 2.1430344581604004, 69.39717102050781, -27.785265334633646, -27.470071833962695, -28.021782195828536, -27.50879709330611, -23.68717147375632, 0.1865321546792984, 0.476826012134552, 4.009281158447266, 20.640504837036133, -0.10060008108128445, -0.6679757507605193, -0.7716552666712067, -0.9999999402525334, 0.9999915156249304, -0.9991738587198]",[1],J0016.3-0013,fsrq,fsrq,J0016.2-0016,fsrq,J0016.2-0016,fsrq,J0016.2-0016,fsrq,AGN,AGN,AGN,AGN
21,J0017.0-0649,bcu,J0017.2-0643,"[2.3924777507781982, 2.3704988956451416, 2.3008759021759033, 23.67684555053711, -30.549866631483024, -30.356533627817583, -28.266997936398425, -30.434918982623444, -23.814721670659676, 0.03640260174870491, 0.37011778354644775, 0.6606490612030029, 10.720091819763184, 0.994869351978031, -0.47349121872707367, -0.7328528785437392, -0.5602087110002903, -0.7724240115291429, -0.4417452673037978]",[1],J0017.2-0643,bcu,bcu,J0017.0-0649,bcu,J0017.0-0649,bcu,J0017.0-0649,bcu,AGN,AGN,AGN,AGN
22,J0017.5-0514,FSRQ,J0017.6-0512,"[2.5345942974090576, 2.5544698238372803, 2.2853481769561768, 224.7967529296875, -29.651524873108304, -29.38906899689723, -27.74949108446358, -29.40936280119366, -23.450407648078123, 0.11073661595582962, 0.9487254023551941, 3.1191134452819824, 23.148046493530273, 0.10308633744200085, -0.6072475842350086, -0.7549219487007155, -0.7826226002799961, -0.5794303668309007, -0.999826891058689]",[1],J0017.6-0512,FSRQ,FSRQ,J0017.5-0514,FSRQ,J0017.5-0514,FSRQ,J0017.5-0514,FSRQ,AGN,AGN,AGN,AGN
23,J0018.4+2946,bll,J0018.4+2947,"[1.7145041227340698, 1.5531558990478516, 1.3316689729690552, 5.411752700805664, -34.076158555452025, -33.65769618201063, -28.246297321102027, -33.80131003140727, -23.943870510309317, 0.1360732465982437, 0.0, 1.9924904108047485, 12.004144668579102, 0.9932207834059467, -0.834449227734563, 0.047492391885986744, -0.2534527494877892, -0.6159102550825641, 0.007773071663181076]",[1],J0018.4+2947,bll,bll,J0018.4+2946,bll,J0018.4+2946,bll,J0018.4+2946,bll,AGN,AGN,AGN,AGN
24,J0019.2-5640,bcu,J0019.1-5645,"[2.2656466960906982, 2.249429702758789, 2.127271890640259, 22.939634323120117, -31.738543820716234, -31.569062153954416, -28.667000897185478, -31.595933732180598, -24.190458775463757, 0.02424963004887104, 0.6054655313491821, 0.37399908900260925, 8.953907012939453, 0.8320316155435891, -0.378339110241436, -0.6847790020620831, -0.4924753712620076, -0.6508961719571879, -0.9998906113787898]",[1],J0019.1-5645,bcu,bcu,J0019.2-5640,bcu,J0019.2-5640,bcu,J0019.2-5640,bcu,AGN,AGN,AGN,AGN
25,J0019.3-8152,bll,J0018.9-8152,"[2.1021957397460938, 2.0818393230438232, 1.9339172840118408, 14.42039966583252, -32.25648942453063, -32.04446387499513, -28.220341534406298, -32.119535698817195, -23.723787810590867, 0.0187128484249115, 0.2904532849788666, 0.4083841145038605, 15.82794189453125, -0.6985618485766529, -0.5307329249717895, -0.5883422480952004, -0.4792611974510767, -0.44888208986566297, -0.8558035782328056]",[1],J0018.9-8152,bll,bll,J0019.3-8152,bll,J0019.3-8152,bll,J0019.3-8152,bll,AGN,AGN,AGN,AGN
26,J0019.6+2022,bll,J0019.4+2021,"[2.1520309448242188, 2.1249799728393555, 1.6649582386016846, 11.287679672241211, -31.957416877542943, -31.609262437659396, -28.425473256500297, -31.584287829454144, -23.920710091547598, 0.15015661716461182, 0.41340556740760803, 1.8228938579559326, 9.600922584533691, -0.5290041947635075, 0.9942901548562576, -0.5989147670257009, -0.6102986023103696, -0.8115976173983288, -0.4747271708807364]",[1],J0019.4+2021,bll,bll,J0019.6+2022,bll,J0019.6+2022,bll,J0019.6+2022,bll,AGN,AGN,AGN,AGN
27,J0021.5-2552,bll,J0021.6-2553,"[2.0997700691223145, 2.06636118888855, 1.9879281520843506, 24.355541229248047, -31.286579155197803, -31.065556335452598, -28.234165075298332, -31.169842897903745, -23.705129905254154, 0.038864485919475555, 0.3459525406360626, 1.1331720352172852, 21.203887939453125, -0.4363683175257779, -0.36094408603002437, -0.5567458780699738, -0.4818187894481669, -0.7465563408175016, -0.3217750140207927]",[1],J0021.6-2553,bll,bll,J0021.5-2552,bll,J0021.5-2552,bll,J0021.5-2552,bll,AGN,AGN,AGN,AGN
28,J0021.9-5140,bll,J0022.1-5141,"[2.042762041091919, 2.004706621170044, 1.9293819665908813, 18.849267959594727, -31.760365312666323, -31.54111273722987, -28.270217004264754, -31.645594330796456, -23.784668432389733, 0.0368097685277462, 0.26840725541114807, 1.0597529411315918, 22.871875762939453, 0.3224489535878261, -0.598734938176244, -0.4504860515840914, -0.5654227287517369, -0.44366338661299776, -0.567192805963708]",[1],J0022.1-5141,bll,bll,J0021.9-5140,bll,J0021.9-5140,bll,J0021.9-5140,bll,AGN,AGN,AGN,AGN
29,J0022.1-1854,bll,J0022.1-1855,"[1.9354254007339478, 1.8248175382614136, 1.6610536575317383, 3.06457257270813, -31.84903247225343, -31.53191554664719, -27.942310392287595, -31.636434913312, -23.561950653834153, 0.09708254039287567, 0.0, 2.653484344482422, 25.47849464416504, 0.8303519797464871, -0.5211309661148755, -0.32822761701813785, -0.39617791264026964, -0.7766300806545963, -0.1312788774700696]",[1],J0022.1-1855,bll,bll,J0022.1-1854,bll,J0022.1-1854,bll,J0022.1-1854,bll,AGN,AGN,AGN,AGN
