,3fgl,3fgl_features,3fgl_labels
109,J0414.9-0840,"[2.40366268157959, 3.9815698921215, -28.349990050277473, -27.809151683973823, -0.7026084974035363, -0.8725204694262155]",[1]
110,J0415.7-4351,"[2.483173370361328, 3.666303780382667, -26.979211076134163, -27.97163608629137, 0.4292881189625412, -0.8031287792157977]",[1]
111,J0418.2+3412,"[2.372267723083496, 3.7409552991700497, -28.67180723627419, -27.52133788992922, 0.17916612053290942, -0.8297236161124772]",[1]
112,J0419.1+6636,"[2.311556339263916, 3.894950685229773, -27.136405937385955, -27.39703469586593, 0.8329333584082895, -0.8373237226286129]",[1]
113,J0420.4+1448,"[2.866267681121826, 3.838759438439106, -24.878293037985145, -27.331253988124878, 0.8138489643037096, -0.7819103112936698]",[1]
114,J0420.4-6013,"[1.845286250114441, 3.7002675150000464, -31.662003240557965, -27.898181222585595, -2.805610432027831, -0.6743778133068561]",[1]
115,J0420.6-3742,"[2.3351693153381348, 3.9870750181808488, -28.181199702113144, -27.637093160360354, 0.2986103758978138, -0.8265868313921265]",[1]
116,J0421.6+1950,"[2.331000328063965, 3.8517579733781355, -28.103339030832394, -27.366119092042442, 0.6241063517288624, -0.8297629013672732]",[1]
117,J0423.5+5442,"[2.6252927780151367, 4.124663410150854, -27.564006110989776, -26.51119151767486, -0.06710650012495972, -0.8391055451519758]",[1]
118,J0425.8+5600,"[2.347608804702759, 3.9449423472935643, -29.24748783955262, -27.041567114097564, -2.2495054011081206, -0.8053893668403983]",[1]
119,J0426.3+3510,"[2.488677740097046, 3.593758074463646, -28.36787177048745, -27.180513109563456, 0.8491042581326693, -0.7834186240021453]",[1]
120,J0426.7+5437,"[2.467036247253418, 3.948011339541394, -25.648123706869587, -26.641934777182566, 2.039327203692932, -0.8395136067592153]",[1]
121,J0427.9-6704,"[2.457216262817383, 3.634054246101704, -26.631629819517403, -27.827803058931107, -0.4527286444615949, -0.8442928051881731]",[1]
122,J0429.8+3611c,"[2.3733503818511963, 3.694207622334539, -28.14854895919518, -27.056840003773516, 0.8883607512697619, -0.839130828976886]",[1]
123,J0430.1-3103,"[1.9710824489593506, 3.7871227317702627, -31.006952191990536, -28.042083035632363, 0.7459867465617149, -0.052890553296063035]",[1]
124,J0431.7+3503,"[2.65058970451355, 3.8849556366295412, -26.87223597775194, -27.133215813547253, 1.3901976325969914, -0.8985077426755718]",[1]
125,J0432.5+0539,"[2.694758653640747, 3.9140966595845246, -26.351904819282506, -27.35051414592629, -0.9200166067371981, -0.8263104435045701]",[1]
126,J0434.3-1411c,"[2.475128173828125, 4.124986928972776, -27.218574254358078, -27.611872250598218, -0.8007910662336462, -0.7378243247741961]",[1]
127,J0437.7-7330,"[2.098876714706421, 3.9985548808277187, -30.52513227408369, -27.83003349446875, 0.40982049748829746, -0.735529764277685]",[1]
128,J0447.1-2540,"[2.5013539791107178, 3.65572487653851, -27.59780757575044, -27.82530137229123, -0.5871266897671656, -0.8649305392638891]",[1]
129,J0451.6+7231,"[2.6509671211242676, 3.7312047431693625, -27.390757945324992, -27.834311695179693, 0.6875164811363225, -0.8514246128871831]",[1]
130,J0451.7+5722,"[2.4866271018981934, 3.3436605231310885, -27.77691993413632, -27.430582618528746, 0.442525458872679, -0.594970841714062]",[1]
131,J0456.2-6924,"[2.307771921157837, 4.033034737077001, -27.761488485636058, -27.540089967127997, 1.270992915541736, -0.7224531357983249]",[1]
132,J0502.6+1759,"[2.5411884784698486, 3.8244813698009668, -27.604460485698294, -27.252895224156752, -1.5338956692697727, -0.7306826975277307]",[1]
133,J0506.3-0357,"[2.1675987243652344, 3.30657984446339, -30.00403808015376, -27.4625568574961, 1.1215789834720113, -0.13556514064305564]",[1]
134,J0506.9+0321,"[1.8043303489685059, 3.500133496383958, -32.38133963384714, -27.731114838510358, -1.5887274756374337, -0.2927333785073085]",[1]
135,J0507.5-0906,"[2.3438100814819336, 3.790702091198169, -28.260316870971664, -27.723382555871154, 0.00028701477655642516, -0.7940604924234096]",[1]
136,J0512.0-3737,"[2.07485032081604, 3.6822479791911498, -31.115131265003324, -27.901294424096395, 0.19881111240560329, -0.13474836242565133]",[1]
137,J0514.6-4406,"[2.2817585468292236, 4.073254206592921, -26.0907493804781, -27.835488807414748, 1.4368438229099099, -0.696325177541388]",[1]
138,J0516.6+1012,"[1.9997390508651733, 3.594177314284608, -32.12362948689486, -27.475698949121515, -0.2822175355364319, -0.7039647583299867]",[1]
139,J0517.1+2628c,"[2.5302505493164062, 3.9067137549935538, -26.756377656311432, -27.021440733039125, 0.4770330892090192, -0.8728942489395131]",[1]
140,J0523.3-2528,"[2.1538543701171875, 3.9150831986280323, -26.813184921981872, -27.41323832962211, 1.0581930808124507, -0.8194889434999182]",[1]
141,J0523.7+3328,"[2.6281168460845947, 3.65900533651021, -25.680478297208808, -27.139892977851254, 0.13952544464540703, -0.876919293395001]",[1]
142,J0524.4+2839,"[2.124197244644165, 3.974836965451645, -29.794749427935482, -27.210377599360804, -1.1001336916822937, -0.7440906399024885]",[1]
143,J0524.5-6937,"[1.6333856582641602, 3.5951323735511727, -33.304124572960006, -27.602636699012663, 0.3574575565476332, 0.1427791747785828]",[1]
144,J0525.2-6614,"[2.1080262660980225, 3.953175536135609, -30.17723971200984, -27.64403838373495, -2.0987745017028825, -0.0024161399145688324]",[1]
145,J0526.4+2247,"[2.4045255184173584, 4.038154545121915, -29.562036910230887, -26.77797800405255, 0.45906830937626214, -0.8220279970995132]",[1]
146,J0527.3+6647,"[1.8516427278518677, 3.6098025744848266, -32.594040843835025, -28.03070433692428, 0.3288536419414668, -0.30394486301666684]",[1]
147,J0529.2+3822,"[2.5335118770599365, 4.095536199149372, -25.516127291741938, -27.106125912324813, 0.9842712426471719, -0.8565630465421391]",[1]
148,J0533.2+5944,"[2.6370816230773926, 3.963212023444046, -26.091569329554787, -27.574283675941476, 1.279217056910748, -0.8558118511724049]",[1]
149,J0533.8-3754,"[2.343245506286621, 4.050848548665865, -28.373013315946157, -27.77835455136051, -1.5418523725650506, -0.7697937773855119]",[1]
150,J0535.3-6559,"[2.1995813846588135, 3.818423953887091, -29.455513877850972, -27.62653803332963, 0.12287148336585557, -0.8157201156356593]",[1]
151,J0535.7-0617c,"[2.396421194076538, 3.7180401523506186, -27.135807575101424, -26.911738242953763, 0.06088006170870597, -0.8283735299088507]",[1]
152,J0536.4-3347,"[2.292635202407837, 5.3022645679198055, -26.263380650895932, -27.536642822133715, 0.9946460966565619, -0.7773682916057789]",[1]
153,J0537.0-7113,"[2.4457333087921143, 3.7730061009950386, -28.51615250502669, -27.57196538246875, 0.36748886462525904, -0.7645691716380256]",[1]
154,J0537.0+0957,"[2.381990671157837, 5.205952719278228, -24.629213429026684, -27.195926668044613, 1.4826347586083983, -0.912775547776428]",[1]
155,J0537.4+3604c,"[2.2712385654449463, 3.347812249900177, -29.78008587001689, -26.877620795937343, 0.5039945168427824, -0.8305730655781044]",[1]
156,J0538.8-0341,"[2.5643904209136963, 3.4522238468850412, -26.808111863909804, -27.19705170390865, 1.1372781059378938, -0.8919603532553916]",[1]
157,J0538.9+1646,"[1.8907150030136108, 3.8141281436047634, -31.398723149221325, -27.453642748203638, 0.7709893595853136, -0.17326751016434888]",[1]
158,J0539.2-0536,"[2.517622232437134, 3.4174905822653128, -25.169008868852206, -27.201040797487806, 1.6292124713922713, -0.8559364767062547]",[1]
159,J0539.9-7553,"[2.325270175933838, 3.7906667752717937, -28.334907865667528, -27.758650036734167, 0.07144959984307407, -0.8304598011718232]",[1]
160,J0540.0+1208,"[2.1070892810821533, 3.879204399028477, -30.85883383838882, -27.414047022723985, -1.4980204989474402, -0.6873360877551097]",[1]
161,J0540.8+3503c,"[2.5208144187927246, 3.7342698549789395, -27.597913193818925, -26.834253400569153, 0.36651563400446213, -0.7974519865584032]",[1]
162,J0541.1+3553,"[2.537951707839966, 3.560129832189234, -26.711851252839626, -26.78578043282824, 1.8016803616417074, -0.8443846927038091]",[1]
163,J0544.7+2239,"[2.4989449977874756, 3.622995219967938, -28.296457312288364, -26.783846742300167, 0.21209102788171813, -0.8439462673652102]",[1]
164,J0545.6+6019,"[1.793613314628601, 3.5822123992023247, -28.53391259746049, -27.68039395769761, 1.5003157147297947, -0.4577709102187142]",[1]
165,J0546.4+0031c,"[2.5685198307037354, 3.9760369396456063, -25.845568860093117, -27.129659273278516, 0.8447774634955515, -0.8379934566474617]",[1]
166,J0550.3-4521,"[2.657763719558716, 3.873444633536959, -27.38736075394147, -27.641639813673713, -4.27088985835141, -0.8623191555726362]",[1]
